Genes	E675_cell_1	E675_cell_2	E675_cell_3	E675_cell_4	E675_cell_5	E675_cell_6	E675_cell_7	E675_cell_8	E675_cell_9	E675_cell_10	E675_cell_11	E675_cell_12	E675_cell_13	E675_cell_14	E675_cell_15	E675_cell_16	E675_cell_17	E675_cell_18	E675_cell_19	E675_cell_20	E675_cell_21	E675_cell_22	E675_cell_23	E675_cell_24	E675_cell_25	E675_cell_26	E675_cell_27	E675_cell_28	E675_cell_29	E675_cell_30	E675_cell_31	E675_cell_32
Psors1c2	0	0	0	0	0	0	3.18	0	0	4.07	5.58	3.43	2.535	4.92	4.23	5.8	3.89	4.98	5.03	0	6.2496	0	2.69	0	4.1	0	4.3	0	1.605	0	0	0
Rab20	6.44	5.31	6.05	5.95	0	0	4.31	2.87	5.26	4.1	0	4.66	3.39	0	0	0	0	5.39	0	4.25	0	6.34	3.52	4.3	0	6.08	4.6	5.63	6.038	5.09	6.38	5.81
Ramp3	0	0	0	0	0	0	4.36	3.72	0	3.16	0	3.23	3.115	0	0	4.49	0	0	0	4.15	0	0	0	0	0	0	0	0	0	0	0	0
Rbp4	10.4	4.52	7.67	10.02	0.44	11.2	5.76	1.18	8.32	3.61	4.67	0	1.62	0	5.14	4.89	2.97	4.56	0.19	0	5.2304	7.59	0	0	3.05	9.19	0	7.94	9.571	9.09	7.45	7.91
Rnd2	7.88	4.2	3.415	5.36	0	6.13	2.14	3.95	0	0	0	3.82	4.525	3.9	0	0	0	1.45	0	4.18	0	3.3	3.83	0	0	0	0	3.19	0	0	4.84	2.35
Rnf128	7.92	0	4.46	6.89	4.85	8.4	2.41	4.12	4.95	4.95	0	0.38	2.53	0	0	0	0.01	4.37	0	0	0	5.06	3.17	4.06	3.59	6.14	2.3	4.3	6.455	2.27	6.92	4.99
S100a6	0	0	0	0	0	0	1.98	4.25	0	0	3.86	0	2.125	0	0	0	0	3.44	0	0	4.3232	0	0	0	0	0	0	0	0	0	0	0
S100g	0	5.65	2.805	2.39	0	0	0	5.8	7.19	3.78	3.92	0.85	5.495	4.29	0	0	8.1	7.92	6.48	0	4.3904	5.61	2.47	0	5.43	6.97	0	6.18	6.733	4.63	11.2	8.49
Sall2	0.26	0	0.285	1.15	4.77	0	4.61	4.76	0.91	1.73	3.5	5.08	4.395	3.62	5.74	4.05	3.18	3.06	4.32	4.5	3.92	0.15	3.78	4.34	4.19	1.64	5.3	0	2.33	0.59	0	1.16
Sct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinf2	0	0	0	6.4	0	8.05	1.86	3.44	4.05	0	0	0	1.72	0	0	0	0	0	0	0	0	0	0	0	0	3.69	0	1.55	2.583	0	0	3.02
Sgk1	9.18	8.58	7.28	9.4	7.23	8.24	6.46	2.81	7.81	3.97	1.49	6.22	4.495	6.09	0.12	4.89	7.14	2.75	0	0	1.6688	8.73	7.34	1.68	5.17	6.62	0	6.69	6.581	7.31	0	6.53
Sigirr	0	3.51	3.39	5.63	0	6.76	1.11	1.32	2.8	3.46	0	0	1.44	0.16	0.29	0	0	0	0	0	0	3.93	0	0	0	5.79	0	4.28	6.342	0	6.01	3.95
Slain1	0	0	0	0	0	0	1.75	1.79	0	2.98	0	0	0.895	3.96	0	0	0	0	0	0	0	0	0	2.63	0	0	2.5	0	0	0	0	0
Slc13a4	6.61	4.06	3.78	7.55	5.25	10.33	1.64	1.89	3.78	3.53	0	0	0.945	0	0.24	0.07	0.22	0.78	1.15	0	0	4.14	0	0	0	6.33	0	2.33	6.39	5.82	0	3.83
Slc2a1	8.62	5.44	7.065	7.3	10.41	9.32	8.88	8.29	7.92	6.99	9.6	9.93	8.48	8.49	8.36	7.73	8.19	8.53	8.63	9.59	10.752	8.14	8.9	9.68	9.72	8.59	9.68	7.34	8.377	8.02	9.84	7.64
Slc35d3	0	0	0	0.39	4.3	0	4.33	4.46	0	0	5.55	5.88	4.065	5.1	5.77	2.22	4.16	5.08	6.6	4.27	6.216	0	0.49	6.96	5.99	0	0.31	0	0	0	0	0
Slc48a1	0	0	0	3.34	0	0	3.71	0	0	0	0	0	0	3.92	4.68	0	0	2.78	3.33	3.9	0	0	0	4.11	0	0	4.98	0	0	0	0	1.68
Slc7a3	6.86	0	0.805	0	9.02	2.27	7.3	7.35	0	3.25	7.75	8.82	7.455	7.18	8.38	1.06	5.68	8.8	9.24	8.65	8.68	1.55	7.63	9.07	8.5	4.47	8.38	0	3.228	0	0	1.2
Slc7a8	8.13	5.46	6.115	7.7	0	8.49	1.09	0.65	5.49	0.97	0	0	2.06	0.33	0	2.52	0	0.84	0.24	0	0	6.3	0	0	0	6.36	0	5.12	6.534	5.05	3.73	5.04
Smagp	0	0	0	4.14	0	1.65	3.52	3.47	0.74	0	5.36	3.29	4.175	4.29	0	0	5.26	0	0	0	6.0032	0	0	5.33	5.5	0	4.44	3.51	0	0	0	0
Smtnl2	0	0	1.075	0	4.77	0	4.81	5.02	0	0	3.88	1.67	4.91	2.99	4.42	4.9	4.3	4.97	3.77	5.83	4.3456	2.15	4.92	5.73	3.24	1.02	4.54	1.33	0.714	2.96	5.81	2.84
Snai1	0	5.29	4.4	0	0.43	0	0	2.82	0	0	4.09	0.22	1.41	4.67	0	0	0	0	3.56	0	4.5808	4.85	0	0	0	4.39	0	1.06	3.073	0	0	3.18
Snora7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soat2	7.13	3.95	5.6	8.84	0.31	10.49	2.79	0	6.18	0.26	0	0	0.075	0	0	0	1.95	0.97	4.06	3.31	0	6.92	0	0.18	0	7.52	0	4.88	7.274	6.69	5.56	5.66
Sox3	0	0	0	0	0	0	0.84	1.34	3.05	0	0.61	2.64	1.275	1.4	1.48	0	0	0.39	0.42	0	0.6832	0	0.99	0.56	1.62	1.23	3.34	1.81	0.861	0.52	0	0
Sp5	0	1.2	2.85	0	0	0	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77	0	4.29	4.739	4.49	0	2.7
Spink2	0	0	0	0	0	0	2.91	1.58	0	0	0	3.28	0.79	0	0	0	0	0	3.95	4.29	0	0	0	1.39	0	0	5.13	0	0	0	0	0
Spp1	0	0	0	0	0	0	0	0	0	0	0	0	1.485	0	3.82	0	0	0	0	0	0	0	0	0	5.15	0	5.32	0	0	0	0	0
Spp2	8.25	0	1.87	6.15	0	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	3.37	0	0	0	5.6	0	2.01	5.738	4.14	0	4.79
Stra6	0	0	1.945	4.65	0	0	2.18	3.04	2.88	0.37	0.32	0	1.52	0	0	0	0	1.21	0	0	0.3584	3.89	0	0	0	2.9	0	3.39	2.03	0	0	1.38
Syngr1	0	0	2.24	4.27	0	0	3.49	4.68	3.7	3.88	0	0	2.34	0.47	3.72	0	1.77	5.01	5.2	0	0	4.48	0.04	0	0	0	4.12	0	1.329	0	7.16	4.12
T	0	0	0	0	0	0	1.92	0	0	6.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcea3	0	5.02	5.08	4.36	3.8	0	4.25	1.41	4.46	3.69	0	0	2.375	4.1	1.38	0	0.02	1.24	3.85	2.82	0	4.72	0.08	3.86	0	5.17	0	5.77	5.467	4.14	3.78	4.5
Tdgf1	0	0	0.07	0	0.35	0.36	6.61	6.59	0	10.13	4.36	7.15	7.32	6.06	5.67	5.11	6.75	7.23	6.36	5.12	4.8832	0	7.14	6.93	7.44	0	6.6	0	0	0	0	0
Tfpi2	0	0	0	0	0	0	0	0	4.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11	0	2.14	0	0
Thbd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm4sf5	0	0	0	0	0	0	0	3.21	0	0	4.08	3.99	3.525	0	4.3	0	0	0	0	0	4.5696	0	0	2.31	0	4.67	0	4.37	4.805	0	0	1.91
Tmem150a	7.41	2.97	4.315	6.35	0	6.91	0	0	0.61	4.76	2.17	0	0	0	2.34	0	3.71	1.21	0	0	2.4304	5.95	0.8	0.67	0	6.6	0	2.54	6.636	4.81	6.71	6.54
Tmem37	9.53	0	0	7.13	0	9.62	4.06	4.55	6.09	0	0	5.34	4.37	4.65	5.37	5.46	4.8	5.03	6.53	0	0	0	0.2	0.59	3.3	5.87	0	3.32	6.692	3.89	8.21	6.99
Tmem47	0	0	0.06	0	0	7.81	2.35	3.48	0.41	3.44	4.46	3.39	3.6	0.49	1.38	0	3.95	1.29	0	3.76	4.9952	0.12	4.06	0.17	0	4.31	4.78	2.84	3.017	2.07	0	0
Tmem86a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69	5.01	0	3.74	3.44	0	0	0	0	0	0	0	0	2.74	0	0	0	0
Tnfrsf19	0	1.3	0	0	0	0	0	0	0	4.63	0	0	1.425	0	1.55	0	0	0.89	0	0	0	0	2.82	0	0	0.4	0	0	1.48	0	0	0
Trf	9.25	3.72	6.89	8	0	9.15	3.82	4.32	8.11	3.89	0.07	0	2.16	0	3.22	0	4.23	1.44	1.4	0.12	0.0784	7.46	3.78	0	0	7.77	0.35	5.81	6.972	4.85	0.48	8.91
Ttr	10.75	6.37	8.19	12.41	5.1	12.27	6.82	4.85	8.81	3.6	3.06	2.96	4.955	2.21	5.21	4.71	5.34	6.66	3.22	3.58	3.4272	9.05	3.95	5.06	3.54	9.36	0	6.93	9.525	9.44	9.61	8.73
Uchl1	0	0	0.235	0	6.14	0	6	6.05	0	4.19	7.27	6	6.145	4.72	5.79	5.56	5.9	7.15	5.7	6.78	8.1424	0.47	5.93	6.46	4.73	2.58	5.74	0	1.806	0	0	1.19
Upp1	0	0	0	0	5.88	0	3.98	0.69	5.37	9.52	0	0	0.345	0	4.32	0	0	0	0	0	0	0	3.86	0	0	0	2.59	2.75	0	2.9	0	6.29
Utf1	3.36	0.58	5.62	0	8.22	0	8.62	8.86	5.96	6.85	9.2	8.61	8.69	8.58	8.82	8.65	8.76	8.59	9.14	8.74	10.304	4.16	8.79	8.65	8.98	8.22	9.16	6.97	5.754	6.26	0	6.6
Wnt3	0	0	0	5.94	0	0	2.22	0	0	0	0	0	1.025	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt8a	0	0	0	0	0	0	0	2.18	0	0	0	0	2.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xlr3a	6.44	5.23	7.285	6.2	0	9.17	6.07	1.01	6.79	2.25	0	0	2.1	0	0	0.31	4.15	4.33	0.09	0	0	7.27	0.92	3.11	0	6.96	4.32	7.09	5.922	7.27	7	7.55
Zfp367	0	3.61	1.4	2.69	0	8.34	3.15	0.63	0	2.23	5.92	3.11	1.455	3.62	2.42	3.78	0	4.05	3	5.17	6.6304	2.8	0	2.83	3.25	0.25	3.61	0.17	0.586	2.51	0	2.83
Zfp488	8.02	0.88	1.81	4.45	4.67	6.51	2.26	3.61	3.2	2.76	2.9	3.33	2.86	2.61	3.66	1.34	0.95	2.82	1.55	2.72	3.248	2.22	1.88	3.7	3.56	1.39	1.44	2.52	2.062	2.01	2.43	2.55
