Genes	1AP	2A	3A	4A	5A	6A	7A	8A	2P	3P	4P	5P	6P	7P	8P	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
Prl5a1	0	0.5	0	0.3	0.5	0	0	0	0.05	0.15	0.3	0	0	0	0	0	2.5	0	0	2	0.8	3.9	1.5	0.7	0	0	0	0	0
Prl7a1	0	0	0	0	0	1.3	0	0	1.69	1.2	0.68	1.2	0	0	0	0	5.5	3.1	2.9	4	3.6	4.8	4.2	1.2	0.6	0	0	0	0
Prrg4	1.9	2.2	3	2.8	2.6	2.4	2.4	1.8	2.66	1.85	1.25	0.8	0.8	1.4	0.9	0	3.1	0	1.8	1.1	1.6	2.2	1.3	0	0.4	1.1	0	1.9	0
Psg22	0	0	0	0	0	0	0	0	0.08	0.25	0.25	1	0.2	0	0	2	2.3	0	0	1	2.3	2	4.5	0	0	0	0	0	0
Psg29	0.8	0.6	0.2	0.1	0	0	0	0	0.03	0.1	0.1	0.4	0	0	0	0.7	2	3.3	0.6	2.6	1.9	1.8	3.2	1.4	0.1	0.6	0	0.9	0
Psors1c2	2.6	3.5	3.2	3.4	3.6	3.3	1.2	3.4	3.52	4.03	4.33	5	5.9	3.6	4.8	0	0	0	0	0	0	0	0	0	0.7	0	4	0	3.1
Pxdc1	0	0	0	0.2	0.3	0.9	0.2	0	1.47	1.4	1.33	1.4	0	1.8	0.4	0	0	0	0	0	0	0	0	2.1	4	2.6	3.6	4.6	4.2
Rab20	0	1.8	2.4	2.4	2.4	2.1	2.7	1	1.7	1.7	1.85	1.1	0.5	0.7	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0
Ramp3	1.2	1.9	2.2	2.4	2.5	2.4	2.5	2.4	0.81	0.6	0.53	0	1	1.8	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbp4	0	1.9	1	1.1	1.2	2.4	1.9	3	0.34	1.13	1.95	1.2	2.2	3.7	1	3.9	5.1	5.2	5.2	5.3	5	5.4	4.7	7.7	8.5	7.8	7.1	9.7	9.2
Rmnd1	0	0	0	1.4	2.7	2.7	0	0	3.3	2.13	0.7	2.8	3.6	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnd2	0	1.6	1.3	2.1	2.9	3	2	1.9	0.18	0.6	1.13	0	2.3	2.1	0.6	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0
Rnf128	1.4	1.3	1.8	1.6	1.3	1.9	2.4	3.5	0.94	1.25	1.55	1.4	1.7	2.1	2.9	0.8	0	0	0	1.4	1.3	2.8	2.6	3.1	4.3	3.5	3	4.8	5.4
S100a6	1.8	2.4	1.3	2.1	2.8	3.1	3.1	5.5	2.14	2.23	1.93	3.5	1.8	2.8	2.8	0	6.3	2.3	3.3	3.9	4.7	5.5	6.1	1	0	3.8	1.5	4	0
S100g	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0.9	4.1	5.3	0	0	1.3	2.5	2.6	5	4	6.6	6.1	5.4	5.7	6
Sall2	3.3	4.3	3.9	3.9	3.9	4.5	4.3	3.4	3.73	3.33	3.03	2.5	2.3	2.9	3.2	2.4	0	3.5	0	2.3	0	1	0	0.4	1.1	1.4	1.3	0.6	2.1
Sct	0	0	0	0.5	1	0	0	0.9	0	0	0	0	0	0	0	0	3.7	2.8	0	3.2	2.3	3.6	4.5	0	0	0	0	0	0
Serpinf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	1.2	0	0.6	0	0	2.9	3.4	3.5	2	3.4	3.7
Sgk1	3.1	3.9	2.9	3.3	3.6	4.1	4.1	3.7	4.73	5.03	5.18	5.7	5.2	5	4.4	0.8	2.9	0	2.2	2.3	2.5	4.5	2.8	4.5	4.8	4.7	4.9	5.4	5.6
Sigirr	0.8	0.9	0.3	0.3	0.2	0	0.7	0.4	1.12	0.7	0.25	0.4	0.3	1.3	0	0	0	2.1	1.5	2	1.8	1.8	2	3.5	4.1	3.5	3.9	4.4	5.6
Slain1	1.8	2.5	1.6	2.2	2.7	2.7	2.7	2.2	2.04	1.9	1.98	1	0	1.8	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0.4
Slc13a4	0.3	0	0	0	0	0.8	0.5	1.5	0.98	0.7	0.4	0.4	0.4	0.8	0.3	0	2.1	0.7	0.3	2.5	2	4.3	3.7	5	5.6	5.5	5.2	6.4	5.8
Slc2a1	5.5	6.7	7	7.2	7.4	7.1	6.9	6.8	6.37	6.05	5.83	5.3	5.7	5.8	5.8	4.5	3.5	5	2.5	5.1	3	5.1	3.5	5.2	5.1	5.4	5.7	5.8	6
Slc35d3	3.4	3.6	4.3	4	3.6	2.7	2.2	2.1	2.85	2.03	1.65	0	0.3	1	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0.2	0
Slc48a1	1.5	2	1.5	1.3	1.1	2.2	2.3	1.6	1.05	0.93	0.78	0.7	0.4	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.7	0	0
Slc7a3	5.7	6.5	6.9	6.8	6.7	6.7	6.6	6.4	6.01	5.58	5.35	4.3	4.9	5.6	5.1	1.4	2.7	0	0	0	0.2	0	0.4	0	0	2.5	0.3	0	0
Slc7a8	0.2	0.4	0.1	0.1	0	0.1	0.1	1	0.33	0.4	0.4	0.4	0.6	0	0	0.9	2.4	0	0.5	1.4	0.7	2.7	0.9	4.1	5.1	3.9	3.3	4.8	4.6
Smagp	2.6	3.8	4.4	4	3.6	4	3.3	2.9	3.55	2.98	2.9	0.5	1.5	3	1	2.4	0	0	3.2	0	3.8	0	4.3	2.5	2.7	2.4	1.2	0	3.9
Smtnl2	1.3	2.7	3.1	3.1	3	2.6	3.1	3	2.15	1.55	1.25	0.2	0.6	1.9	0.3	0	0	0	0	0.5	0	0.9	0	0	0.2	0.5	0.3	2.7	0
Snai1	0.6	0	1.2	1.2	1.1	0	2.3	3.9	1.06	2.35	3.25	4.3	5.2	4.8	5.5	1.8	5.1	1.3	2.5	1.4	3.2	1.4	3.8	2.1	3.7	0.4	5.1	1.7	4.5
Snora7a	0	0	0	5.2	10.4	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1	0	0
Soat2	0	0.2	0.5	0.5	0.4	1	0.2	0.4	0.18	0.13	0.05	0.2	0.2	1	0.5	0.9	4.9	2.1	0	3.1	1.7	4	3.4	4.5	6.6	4.1	4.7	6.3	6.2
Sox3	2.1	2.6	2.5	2.8	3	2.7	2.5	2.6	1.94	1.58	1.28	0.9	0.4	1.2	1.4	0	0	1.1	0.5	0.6	1.3	0	2	0	0	0.6	0	0	0
Sp5	0	0	0	0	0	0	1.6	1.3	0.21	0.7	0.7	2.8	4.4	4.2	3.7	0.9	3	0	3	0	3.3	0	3.5	0	4.1	0	4.6	0	3.9
Spink2	2.8	2	3	2.4	1.7	2.7	1.9	0	0.91	1.18	1.48	0.8	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spp1	0.6	2.3	3.1	3.2	3.2	1.5	0	1.5	1.71	1.5	1.58	0	1.3	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spp2	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	6	1.5	0	0	0	0	0	0	3.7	5	5.1	3.5	6.6	5.9
Stra6	0	0.3	0	0.1	0.2	0	0.8	0.6	0.09	0.3	0.38	0.6	0	0	0	2.1	3.6	3.7	1	2.8	1.7	1.9	2.4	1.1	2.4	1	0	0.3	0
Syngr1	1.6	2.2	2.6	3.2	3.8	3	3	3.3	2.17	2.33	2.63	1.8	2	1.4	0	0	3.7	0	0	0	0.9	0	1.8	0	3.6	0	3.1	0.8	4.2
T	0.8	0.4	0.3	0.5	0.6	0.4	2.6	4.2	0.56	1.88	2.4	5.1	6.2	5.6	6.9	0	0	0	0.5	0	1.3	0	2.1	0	3.1	0	6	2.7	5.8
Tcea3	1.5	2	2.7	2.4	2	3.3	3.2	3.8	2.64	3.43	3.95	4.7	4.9	4.6	4.7	0	0	2.3	1.3	2.5	1.5	2.6	1.7	2.4	4.1	1.5	3.4	3.4	4.6
Tdgf1	4.8	5.9	5.7	5.7	5.7	6.6	6.5	7.3	7.07	7.48	7.7	8	8.4	7.8	8.3	2.3	3	0	1	0	0.8	0	0.5	3	5.6	1.1	8.1	2.6	6.1
Tfpi2	0	0	0	0	0	0	0	0	0.42	0.23	0	0	0	0	0.6	0	2	0	0	1.1	1.6	2.1	3.1	0	0.4	0	0	0	0
Thbd	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.6	3.1	0	1.3	0	2.2	0	3	0	0	0	0.2	0.4	0
Tm4sf5	0	0.9	1.5	1.2	0.9	1.9	0.8	1.4	0.55	0.65	0.73	0.5	0	1.1	0.7	0	0	0	1.6	0	0.8	0	0	3.6	3.7	2.8	2.2	4.6	5.2
Tmem150a	0	1.2	1.7	2	2.3	2.4	2.7	2.7	2.93	2.53	2.15	2	2.9	2.9	3	0	2.6	0	1.2	2.3	3.6	4.6	5.9	5.2	5.8	4.2	5.5	6.3	5.8
Tmem254c	4.6	5	5.3	5.1	4.8	5.9	4.7	2.2	4.65	3.83	3.08	3.3	3.2	4.8	2.9	0	0	0	0	0.1	0	0.2	0	0	0	0	0	0.1	0.1
Tmem37	2.3	3.4	4	3.9	3.7	3.3	4.5	3.1	1.62	1.2	0.98	0	0.6	1.9	1.9	0	6.3	0	0	1.7	2.1	3.3	4.1	4.8	6.1	5.3	4.5	6.9	7.4
Tmem47	1.5	1.9	1.8	1.7	1.5	2.1	2.2	2.8	2.6	3.05	3.28	3.8	3.7	3.4	3.8	0.5	0	0.6	0	0.3	0.2	0	0.3	0.3	2.5	1.8	3.9	1.4	2.7
Tmem86a	1.8	2.2	2.2	1.8	1.3	1.2	1.3	1.7	1.23	1.05	0.98	0.3	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0
Tnfrsf19	0	0.7	0.7	0.8	0.9	1.4	1.7	1.6	1.55	2.13	2.35	3.4	4	3	3.5	0	0	0	0	0.2	0.7	0.3	1.4	0	3.1	1.2	2.9	2.6	4.1
Trf	0.4	0	0.2	0.1	0	0	0.6	0	0.48	0.43	0.28	0.5	0.7	0.9	0.3	0.8	2.7	0	3.8	1.9	2.2	3.8	0.5	4.6	5.7	5.6	2.8	5.2	5.6
Ttr	1.6	0	0.8	0.4	0	2.9	3.5	3.4	0.95	1.08	1.08	1.6	2	3.5	0.6	6.2	6.4	5.1	6	6.4	6.4	7.7	6.8	9.9	9.6	10.3	8.5	11.3	10.2
Uchl1	5	5.7	5.4	5.6	5.7	6.1	5.8	5.3	5.49	5	4.78	3.8	3.5	4.7	4.3	2.2	0	3.2	0	2.8	0	2.3	0	2.7	0	2.7	2	0	0
Upp1	0.7	1.2	1.3	1.5	1.6	2.5	3	5.6	2.53	3.53	4.05	5.7	5.9	4.2	5	1.4	3.7	1.5	2.3	1.2	2.4	0.8	2.4	0	4.2	0	3.3	0	1.9
Utf1	6.2	7.7	7.7	7.7	7.7	8.1	7.6	7.7	7.51	7.05	6.75	6	5.3	6.5	6	4.7	4.9	0	2.9	2.1	3.7	4.2	4.5	5.1	5.6	4.4	3.3	4.1	0.5
Wnt3	0	0	0	0.3	0.5	1.2	2.1	3.4	1.86	2.45	2.68	3.8	4.5	3.9	4.2	0	0	0	0.4	0	1.2	0	1.9	1.6	4.1	1.9	3.7	3.7	5.1
Wnt8a	0	0.8	0.6	0.3	0	0.3	0	0	0.54	1.8	2.7	3.3	4.3	2.8	2.4	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0
Xlr3a	1.7	1.8	0.6	1.3	2	1.4	2.2	2.4	2.42	2	1.7	1.4	1.8	0.9	2.4	0	1.9	1.3	2.3	0.7	2.1	0	1.9	3.9	4	4.7	2.3	5.1	5.1
Zfp367	1.9	2.1	2.6	2.6	2.5	2.1	2.7	2.1	1.92	1.5	1.2	0.9	1.5	2	0.5	0.6	0	0	0	0	0.2	0	0.3	0	1.3	0	1.8	1.4	2.3
Zfp488	7.4	6.1	6.1	6.1	6	5.5	5.2	4.8	5.79	5.75	5.75	5.6	5.2	4.5	4.7	7.5	7.2	8.1	8.1	7.8	7.7	7.4	7.2	7.2	5.1	6.6	5.7	5.5	5.8
