Cell	Celltype	Location_Smooth	X	Y	Z	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_6713	Epiblast	3A	5.54E-01	-2.05E+00	2.87E+00	0	1	0	0	0	0	0	0	0	0	2	1
cell_6838	Epiblast	3A	-1.51E+00	1.30E+00	3.16E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6931	Epiblast	3A	-1.69E+00	-6.84E-01	3.22E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7334	Epiblast	3A	9.48E-01	-2.32E+00	3.12E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_7479	Epiblast	3A	-1.53E+00	-2.03E+00	2.90E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7490	Epiblast	3A	1.17E+00	-1.44E+00	2.86E+00	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_5557	Epiblast	3A	2.36E-01	-2.39E+00	2.99E+00	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6153	Epiblast	3A	-1.23E-01	-3.97E-01	3.02E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6560	Epiblast	3A	1.04E+00	-1.35E+00	3.10E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_7336	Epiblast	3A	-2.10E+00	1.32E+00	2.80E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5779	Epiblast	3A	1.07E+00	-1.52E+00	3.22E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_6223	Epiblast	3A	-1.68E+00	2.62E-01	2.75E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6303	Epiblast	3A	-2.20E+00	9.81E-01	2.54E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7332	Epiblast	3A	-9.33E-01	-3.69E-01	2.70E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7345	Epiblast	3A	7.10E-01	-1.74E+00	2.95E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7408	Epiblast	3A	-2.26E+00	-5.54E-01	3.13E+00	1.58	1	1	2.58	0	0	0	1	0	0	2.58	1
cell_5560	Epiblast	3A	3.46E-01	-1.15E+00	3.37E+00	0	0	0	0	0	0	0	1	0	0	0	1
cell_6676	Epiblast	3A	-2.00E+00	-1.00E+00	3.02E+00	0	2	0	0	0	0	0	1.58	0	0	2	1
cell_7056	Epiblast	3A	-8.79E-01	-1.16E+00	3.02E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7566	Epiblast	3A	8.47E-01	-1.55E+00	3.20E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_5501	Epiblast	3A	-1.65E+00	1.31E+00	3.39E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7426	Epiblast	3A	-2.54E+00	1.12E-01	3.24E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_6626	Epiblast	3A	7.84E-01	-1.84E+00	3.49E+00	0	1	1.58	0	0	0	0	2.32	0	0	3.17	1
cell_6776	Epiblast	3A	-1.66E+00	2.28E-01	2.77E+00	0	2	0	0	0	0	0	2.32	0	0	3	1
cell_6237	Epiblast	3A	-3.09E-01	-1.22E+00	2.84E+00	0	1	1	0	0	0	0	1.58	1.58	0	3	1
cell_6867	Epiblast	3A	-2.05E+00	1.40E+00	3.39E+00	0	0	0	0	0	0	0	0	1.58	0	2.32	1
cell_7448	Epiblast	3A	-1.82E+00	1.04E-01	3.27E+00	0	0	0	0	0	0	0	1	1	0	1.58	1
cell_7088	Epiblast	3A	1.35E-01	-1.12E+00	2.75E+00	1	1	2.81	3	0	0	0	0	0	0	2.58	1
cell_5719	Epiblast	3A	-1.35E+00	-1.01E+00	3.43E+00	0	1.58	0	0	0	0	0	1	1	0	2.32	1
cell_6463	Epiblast	3A	-1.14E+00	1.03E+00	3.06E+00	0	1	2	2.32	0	0	0	1	1	0	2.81	1
cell_6447	Epiblast	3A	1.56E+00	-1.90E+00	2.83E+00	0	0	2	0	0	0	0	1.58	0	0	2.58	1
cell_7344	Epiblast	3A	-4.84E-01	-4.53E-01	2.53E+00	0	2	1	0	0	0	0	1	2	0	2.58	1
cell_7224	Epiblast	3A	-2.12E+00	-1.23E+00	2.65E+00	1	1	0	0	0	0	1	2.58	1	0	3.32	1
cell_5735	PSLC	3P	1.28E+00	-5.33E-01	3.31E+00	0	1	0	0	0	0	0	1	0	0	0	2
cell_6225	PSLC	3P	1.61E+00	-3.03E-01	2.72E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5970	PSLC	3P	-6.27E-01	1.13E+00	3.24E+00	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_7368	PSLC	3P	1.57E+00	4.37E-01	2.89E+00	0	2.32	0	0	0	0	0	0	1	0	2	2
cell_6125	PSLC	3P	1.82E+00	1.51E+00	2.74E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_6451	PSLC	3P	-1.55E+00	1.93E+00	3.22E+00	0	2.32	0	0	0	0	1	0	0	0	2.81	2
cell_7041	PSLC	3P	1.60E+00	9.95E-01	2.73E+00	0	1	0	0	0	0	1	0	0	0	1	2
cell_5650	PSLC	3P	9.65E-02	2.07E+00	3.29E+00	0	3.32	0	0	0	0	0	0	0	0	0	2
cell_5745	PSLC	3P	6.45E-01	1.34E+00	3.00E+00	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_5763	PSLC	3P	9.47E-01	1.91E+00	3.15E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_5878	PSLC	3P	1.33E+00	-8.45E-01	3.08E+00	0	1.58	0	0	0	0	0	0	0	0	1.58	2
cell_6007	PSLC	3P	1.70E+00	-1.53E+00	3.17E+00	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_6539	PSLC	3P	-1.27E+00	1.98E+00	3.09E+00	0	1	0	0	0	0	0	0	0	0	1.58	2
cell_6648	PSLC	3P	8.10E-01	1.01E+00	2.75E+00	0	0	0	0	0	0	0	0	0	0	2.32	2
cell_6960	PSLC	3P	3.91E-02	3.09E-01	2.88E+00	0	0	0	0	0	0	0	0	0	0	2.58	2
cell_7067	PSLC	3P	1.87E+00	1.58E+00	3.18E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_7226	PSLC	3P	2.25E-01	1.17E+00	3.06E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_7302	PSLC	3P	-5.74E-01	1.92E+00	3.26E+00	0	3	0	0	0	0	0	1	0	0	1	2
cell_7312	PSLC	3P	8.05E-01	3.23E-02	3.38E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_7483	PSLC	3P	-1.21E+00	1.33E+00	2.53E+00	1	0	1	0	0	0	0	1	0	0	1	2
cell_7535	PSLC	3P	1.46E+00	-6.63E-01	2.60E+00	0	1	0	0	0	0	0	2	0	0	2	2
cell_7624	PSLC	3P	2.08E+00	9.09E-01	2.88E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_5648	PSLC	3P	7.94E-01	1.21E+00	2.99E+00	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_5649	PSLC	3P	1.70E+00	-2.84E-01	3.44E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_5780	PSLC	3P	8.71E-01	-2.24E-01	3.05E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6034	PSLC	3P	1.31E+00	-1.30E+00	2.82E+00	0	1	0	0	0	0	0	1.58	0	0	3	2
cell_6160	PSLC	3P	1.07E+00	-3.80E-01	2.79E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_6167	PSLC	3P	1.58E+00	-1.51E+00	2.55E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6271	PSLC	3P	1.75E+00	1.08E+00	2.94E+00	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_6719	PSLC	3P	-1.72E-01	8.06E-01	2.79E+00	0	1	0	0	0	0	1	1	0	0	0	2
cell_7085	PSLC	3P	-1.18E+00	1.35E+00	2.55E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_7293	PSLC	3P	-1.04E+00	1.93E+00	2.70E+00	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_7378	PSLC	3P	1.99E+00	1.33E+00	3.46E+00	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_7559	PSLC	3P	5.26E-01	1.85E+00	2.80E+00	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_6953	PSLC	3P	1.57E+00	1.98E+00	2.96E+00	0	2.32	1	0	0	0	0	0	0	0	2	2
cell_7177	PSLC	3P	-8.53E-01	2.25E+00	2.64E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5931	PSLC	3P	5.89E-01	1.62E+00	3.44E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_6689	PSLC	3P	-1.00E+00	1.55E+00	3.07E+00	0	1.58	0	0	0	0	1	0	1	0	0	2
cell_5953	PSLC	3P	-3.96E-01	1.23E+00	3.30E+00	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_5684	PSLC	3P	1.18E+00	9.42E-01	3.17E+00	0	1	0	0	0	0	0	1.58	0	0	0	2
cell_5890	PSLC	3P	1.59E+00	-4.76E-01	3.03E+00	0	1	0	0	0	0	0	0	0	0	1	2
cell_5896	PSLC	3P	2.67E-01	1.30E+00	3.15E+00	0	2	0	0	0	0	0	0	0	0	1	2
cell_5983	PSLC	3P	-2.63E-01	2.47E+00	3.17E+00	0	2.81	0	0	0	0	0	0	0	0	0	2
cell_6009	PSLC	3P	-5.84E-01	2.02E+00	2.76E+00	0	2.81	0	0	0	0	0	0	0	0	1	2
cell_6228	PSLC	3P	1.52E+00	-1.30E+00	2.88E+00	0	1.58	0	0	0	0	0	1	0	0	1	2
cell_6444	PSLC	3P	8.09E-01	2.01E+00	3.30E+00	1	1	1	0	0	0	0	2.32	0	0	2.58	2
cell_7506	PSLC	3P	2.02E+00	1.05E+00	2.54E+00	0	2	0	0	0	0	0	0	0	0	1	2
cell_7577	PSLC	3P	1.80E-01	2.13E+00	2.76E+00	0	2	0	0	0	0	0	1	0	0	2	2
cell_7038	PSLC	3P	1.27E+00	-1.26E+00	3.11E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6308	PSLC	3P	-7.35E-01	1.05E+00	3.47E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6462	PSLC	3P	-1.35E+00	1.64E+00	2.81E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7153	PSLC	3P	2.04E+00	-1.87E-01	3.32E+00	0	1	0	0	0	0	0	2	0	0	1.58	2
cell_6257	PSLC	3P	1.90E+00	2.04E-01	2.58E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_6720	PSLC	3P	1.61E+00	-6.04E-01	3.06E+00	0	2.32	0	0	0	0	0	1	0	0	0	2
cell_5757	PSLC	3P	2.00E+00	-3.93E-01	2.67E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_5639	PSLC	3P	1.69E+00	-2.69E-01	3.15E+00	0	3	0	0	0	0	1	0	0	0	0	2
cell_6159	PSLC	3P	-6.60E-01	2.09E+00	3.06E+00	0	1	0	0	0	0	0	0	0	0	2.32	2
cell_6848	PSLC	3P	8.91E-01	1.74E+00	3.09E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_7232	PSLC	3P	3.37E-01	-2.74E-01	2.82E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6375	PSLC	3P	1.95E+00	9.53E-01	3.01E+00	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_6630	PSLC	3P	1.61E+00	8.71E-01	2.52E+00	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_6727	PSLC	3P	7.14E-01	1.16E+00	3.06E+00	0	1.58	0	0	0	0	1	0	0	0	0	2
cell_6902	PSLC	3P	8.82E-02	6.77E-01	2.81E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6944	PSLC	3P	3.84E-01	2.42E+00	3.24E+00	0	1	0	0	0	0	0	0	0	0	1	2
cell_7481	PSLC	3P	-3.16E-01	1.87E+00	3.18E+00	0	2.81	0	0	0	0	0	0	0	0	2	2
cell_5680	PSLC	3P	-7.86E-01	1.59E+00	3.13E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_5642	PSLC	3P	1.19E-01	2.48E+00	2.92E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_5926	PSLC	3P	-1.42E+00	1.49E+00	3.35E+00	0	0	0	0	0	0	0	1.58	0	0	1.58	2
cell_5949	PSLC	3P	8.24E-01	2.18E-01	2.95E+00	0	2.58	0	0	0	0	0	0	0	0	0	2
cell_5958	PSLC	3P	5.94E-01	1.26E+00	2.53E+00	0	1	0	0	0	0	0	1	0	0	1.58	2
cell_5971	PSLC	3P	1.31E+00	-3.18E-01	2.81E+00	0	3	0	0	0	1	0	0	0	0	0	2
cell_6027	PSLC	3P	1.41E+00	6.20E-01	3.16E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6076	PSLC	3P	1.66E+00	-4.40E-01	3.30E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6230	PSLC	3P	1.63E+00	7.25E-02	2.99E+00	0	2.81	0	0	0	0	0	0	0	0	1	2
cell_6544	PSLC	3P	-4.92E-01	1.37E+00	2.96E+00	0	0	0	0	0	1	0	2	0	0	1	2
cell_6619	PSLC	3P	1.54E+00	1.35E+00	3.23E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_6692	PSLC	3P	-5.28E-01	1.41E+00	3.15E+00	0	1.58	0	0	0	1	0	1.58	1	0	2.81	2
cell_6909	PSLC	3P	1.73E+00	1.68E+00	2.58E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6986	PSLC	3P	1.48E+00	2.04E+00	3.34E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7220	PSLC	3P	-6.98E-02	5.95E-01	3.33E+00	0	2.32	0	0	0	0	1	0	0	0	0	2
cell_5549	PSLC	3P	4.78E-01	2.17E+00	2.70E+00	0	1	0	0	0	1	0	0	0	0	0	2
cell_5690	PSLC	3P	1.32E-01	6.98E-01	2.51E+00	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_6057	PSLC	3P	1.06E+00	1.77E+00	3.49E+00	0	0	0	0	0	1	0	0	0	0	0	2
cell_6080	PSLC	3P	-6.82E-01	1.31E+00	3.09E+00	0	1.58	0	0	0	1	0	1	0	0	0	2
cell_6155	PSLC	3P	8.28E-01	2.19E+00	2.84E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6179	PSLC	3P	3.84E-01	2.46E-01	3.00E+00	0	2	0	0	0	0	0	0	0	0	1.58	2
cell_6587	PSLC	3P	1.62E+00	-1.56E+00	2.63E+00	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_7005	PSLC	3P	1.90E+00	-1.09E+00	2.72E+00	0	0	0	0	0	0	0	1	0	0	0	2
cell_7149	PSLC	3P	2.12E-02	7.03E-01	3.35E+00	0	1	0	0	0	0	0	0	0	0	1.58	2
cell_7160	PSLC	3P	1.35E+00	1.17E+00	2.58E+00	0	2.32	0	0	0	0	0	1.58	0	0	3.32	2
cell_7596	PSLC	3P	1.10E+00	4.47E-01	3.36E+00	0	1.58	0	0	0	0	0	1	0	0	1	2
cell_5625	PSLC	3P	1.22E+00	1.99E+00	2.77E+00	0	1	0	0	0	0	0	1	0	0	2.58	2
cell_6861	PSLC	3P	6.10E-01	5.20E-01	3.24E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_5459	PSLC	3P	-2.98E-02	1.10E+00	2.58E+00	0	2.32	0	0	0	0	0	0	0	0	1	2
cell_6959	PSLC	3P	8.79E-01	1.22E+00	3.25E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7335	PSLC	3P	2.27E+00	-9.92E-01	2.81E+00	0	2	0	0	0	0	0	0	0	0	2	2
cell_6614	PSLC	3P	1.54E+00	-1.08E+00	2.62E+00	0	1	0	0	0	0	0	1	0	0	0	2
cell_6774	PSLC	3P	1.07E+00	1.45E+00	3.37E+00	0	2.81	0	0	0	0	0	2	0	0	2.81	2
cell_6431	PSLC	3P	1.49E+00	-7.94E-01	3.10E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_5461	PSLC	3P	-5.89E-01	1.38E+00	2.89E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_6299	PSLC	3P	1.60E+00	-1.22E+00	2.61E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5544	PSLC	3P	1.24E+00	1.22E+00	3.41E+00	1	1	2	0	0	0	0	1.58	1	0	3	2
cell_5686	PSLC	3P	1.06E+00	-1.47E-01	3.08E+00	1	0	0	0	0	0	0	1.58	1	0	2	2
cell_6041	PSLC	3P	2.33E+00	-6.41E-01	2.90E+00	0	0	0	0	0	0	0	1.58	1	0	1.58	2
cell_6196	PSLC	3P	2.18E+00	-1.87E-01	2.94E+00	0	0	0	0	0	0	0	1.58	0	0	3.17	2
cell_6419	PSLC	3P	1.41E+00	-2.49E-02	2.56E+00	0	2.58	0	0	0	0	0	0	0	0	2.81	2
cell_6772	PSLC	3P	-5.98E-01	1.05E+00	2.63E+00	1	0	1	0	0	1	0	1	0	0	3.17	2
cell_6915	PSLC	3P	1.05E+00	-8.63E-01	3.41E+00	0	2.58	0	0	0	0	0	0	1	0	2.58	2
cell_7531	PSLC	3P	-8.70E-01	1.28E+00	3.04E+00	2	0	1.58	0	0	0	0	1	1	0	3.91	2
cell_7600	PSLC	3P	9.28E-01	8.51E-01	2.62E+00	0	1	0	0	1	0	0	2.32	0	0	2.32	2
cell_7606	PSLC	3P	1.19E+00	2.21E+00	2.96E+00	0	0	0	0	0	0	0	2	0	0	1.58	2
cell_5723	PSLC	3P	1.14E+00	-5.32E-01	2.51E+00	0	0	0	0	0	0	0	1.58	0	0	2.32	2
cell_6604	PSLC	3P	-4.48E-01	1.95E+00	2.60E+00	0	0	1.58	0	0	0	0	1.58	1.58	0	2	2
cell_6891	PSLC	3P	5.91E-01	7.03E-01	3.03E+00	0	1	0	0	0	0	0	1	0	0	2.32	2
cell_5701	PSLC	3P	-7.00E-01	1.21E+00	2.78E+00	2.32	1	2.81	3	0	0	0	1	1	0	2.32	2
cell_5982	PSLC	3P	3.21E-01	2.44E+00	3.34E+00	1	0	1	0	0	0	0	2.32	0	0	0	2
cell_7394	PSLC	3P	1.31E+00	-6.13E-01	3.21E+00	0	1	1	0	0	0	0	2	0	0	2.58	2
cell_7128	PSLC	3P	2.96E-01	1.52E+00	3.28E+00	0	1	1.58	0	0	0	0	2.58	0	0	2.32	2
cell_7322	PSLC	3P	1.18E+00	2.09E-02	2.99E+00	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_6077	PSLC	3P	1.07E+00	-3.11E-01	3.10E+00	0	1	2.32	0	0	0	0	1	0	0	2.58	2
cell_6442	PSLC	3P	2.23E+00	-9.19E-01	3.10E+00	0	0	0	0	0	0	0	0	0	0	1	2
cell_6654	PSLC	3P	-1.19E-01	2.07E+00	2.87E+00	0	0	0	0	0	0	0	1	0	0	4	2
cell_6880	PSLC	3P	2.09E+00	8.71E-01	2.74E+00	0	0	0	0	0	0	0	0	1	0	2	2
cell_6905	PSLC	3P	6.26E-01	-4.11E-02	2.75E+00	1	1	0	0	0	0	0	1.58	0	0	1.58	2
cell_5793	PSLC	3P	1.32E+00	-1.22E+00	3.39E+00	0	2.32	1	0	0	1	0	2	1	0	3	2
cell_5761	PSLC	3P	1.63E+00	-3.47E-03	3.13E+00	0	1	1	0	0	0	0	1.58	0	0	2.58	2
cell_6415	PSLC	3P	7.35E-01	-6.08E-01	2.53E+00	1.58	0	1	1	0	1	0	1	0	0	3	2
cell_5587	PSLC	3P	6.58E-01	2.31E+00	3.48E+00	0	0	0	0	0	0	0	0	1	0	2	2
cell_5619	PSLC	3P	8.82E-01	3.16E-02	3.03E+00	0	0	0	0	0	1	0	1.58	0	0	2.32	2
cell_6107	PSLC	3P	1.01E+00	2.23E+00	2.94E+00	1.58	0	1	0	0	0	0	1.58	0	0	2.81	2
cell_6383	PSLC	3P	1.07E+00	2.10E+00	3.39E+00	0	0	0	0	0	0	0	1	0	0	3	2
cell_7415	PSLC	3P	1.47E+00	8.57E-01	3.27E+00	0	1.58	1	0	0	0	0	0	1.58	0	2	2
cell_7536	PSLC	3P	2.16E+00	1.20E+00	2.59E+00	0	1	0	0	0	0	0	1	0	0	3.46	2
cell_6789	Epiblast	4A	7.61E-02	-2.62E+00	3.69E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6968	Epiblast	4A	-2.14E+00	9.37E-01	3.87E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_5673	Epiblast	4A	-2.36E-01	-1.12E+00	3.95E+00	0	3.46	0	0	0	0	0	0	0	0	1	1
cell_5965	Epiblast	4A	-2.22E+00	-9.04E-01	4.13E+00	0	1	0	0	0	0	0	2	1	0	2.58	1
cell_5653	Epiblast	4A	-2.53E+00	-1.31E+00	3.84E+00	0	2	0	0	0	0	0	0	0	0	2	1
cell_6240	Epiblast	4A	-8.26E-01	-2.27E+00	3.81E+00	0	2	0	0	0	0	0	0	1	0	0	1
cell_7609	Epiblast	4A	6.75E-02	-7.50E-01	3.74E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5620	Epiblast	4A	-1.14E+00	-1.82E+00	3.98E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_5679	Epiblast	4A	-1.05E+00	-2.15E+00	3.74E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6501	Epiblast	4A	-1.68E+00	2.16E-01	3.52E+00	0	1	0	0	0	1.58	0	0	0	0	0	1
cell_6784	Epiblast	4A	-2.32E+00	4.60E-01	4.28E+00	0	3.46	0	0	0	0	0	1	0	0	0	1
cell_6923	Epiblast	4A	1.04E+00	-1.84E+00	3.93E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7084	Epiblast	4A	-2.27E+00	1.45E-01	4.39E+00	0	3.81	0	0	0	0	0	0	0	0	0	1
cell_7176	Epiblast	4A	-1.73E+00	1.15E+00	4.09E+00	1	2.58	0	0	0	0	0	0	0	0	0	1
cell_5775	Epiblast	4A	-1.04E+00	-1.04E+00	4.19E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5458	Epiblast	4A	-2.93E+00	-1.07E-01	3.94E+00	0	2.58	0	0	0	0	0	0	0	0	1.58	1
cell_6632	Epiblast	4A	-5.44E-01	-8.64E-02	4.16E+00	0	1.58	0	0	0	0	0	1.58	0	0	2.32	1
cell_6714	Epiblast	4A	-2.35E-01	1.56E-01	3.98E+00	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_6682	Epiblast	4A	-1.88E+00	1.72E+00	3.90E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6803	Epiblast	4A	-1.53E+00	5.20E-01	4.06E+00	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_5582	Epiblast	4A	-5.37E-01	1.01E-01	4.11E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_6312	Epiblast	4A	-7.16E-01	-1.32E+00	4.20E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6420	Epiblast	4A	-7.48E-01	-1.73E+00	4.07E+00	0	2.81	0	0	0	0	0	1	0	0	2.32	1
cell_5460	Epiblast	4A	-5.59E-01	-5.89E-01	3.83E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6884	Epiblast	4A	-5.65E-01	4.30E-01	4.04E+00	0	2.58	0	0	0	0	0	1	0	0	1	1
cell_5827	Epiblast	4A	-1.36E+00	-9.81E-01	4.23E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_5859	Epiblast	4A	-1.88E+00	4.97E-01	4.05E+00	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_6548	Epiblast	4A	-1.49E+00	3.46E-01	4.25E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6725	Epiblast	4A	-2.00E+00	1.80E+00	4.36E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_6158	Epiblast	4A	-2.36E+00	8.02E-01	3.94E+00	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_5485	Epiblast	4A	-2.23E+00	2.09E+00	3.63E+00	0	2	0	0	0	0	0	1	0	0	1	1
cell_5604	Epiblast	4A	-2.59E+00	9.47E-01	4.37E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_5905	Epiblast	4A	-1.75E+00	-9.98E-01	4.26E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6030	Epiblast	4A	1.39E+00	-2.48E+00	3.92E+00	0	1	0	0	0	0	0	1.58	0	0	1	1
cell_6136	Epiblast	4A	-1.12E+00	-1.82E+00	3.76E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6346	Epiblast	4A	-2.03E+00	-7.18E-01	3.69E+00	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_6437	Epiblast	4A	-6.56E-01	-9.93E-01	3.87E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6468	Epiblast	4A	-5.67E-01	-1.20E+00	3.57E+00	0	1.58	0	0	0	0	0	1	0	0	2.81	1
cell_6886	Epiblast	4A	-1.95E+00	-9.34E-01	3.60E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7294	Epiblast	4A	-2.31E-01	-2.08E+00	3.52E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7538	Epiblast	4A	-1.51E+00	2.62E-01	4.30E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7598	Epiblast	4A	-2.26E+00	-2.07E+00	3.85E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6890	Epiblast	4A	-3.12E-01	-2.57E+00	4.42E+00	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_7292	Epiblast	4A	9.83E-02	-1.97E+00	4.36E+00	0	2.58	0	0	0	0	0	0	1	0	1.58	1
cell_6908	Epiblast	4A	-1.14E-01	-9.29E-01	3.63E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7136	Epiblast	4A	-1.62E+00	-2.63E+00	3.95E+00	0	1.58	0	0	0	0	0	2	0	0	2.58	1
cell_6747	Epiblast	4A	8.02E-01	-2.12E+00	3.76E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6395	Epiblast	4A	-2.40E+00	1.77E+00	4.02E+00	0	1.58	0	0	0	0	0	1	0	0	0	1
cell_5627	Epiblast	4A	-2.41E+00	-6.01E-01	3.78E+00	0	1	0	0	0	0	0	1	0	0	1.58	1
cell_6006	Epiblast	4A	-1.08E+00	1.05E+00	3.75E+00	0	1	0	0	0	0	0	1.58	0	0	1	1
cell_5959	Epiblast	4A	-1.72E+00	-2.23E+00	3.93E+00	0	1	0	0	0	0	0	0	1	0	1	1
cell_6056	Epiblast	4A	-1.62E+00	-1.95E+00	4.15E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7123	Epiblast	4A	-1.57E+00	-2.62E+00	4.48E+00	1	1.58	0	0	0	0	0	0	0	0	0	1
cell_6416	Epiblast	4A	-2.11E+00	-1.63E+00	4.41E+00	0	2.58	2	2.32	0	0	0	1.58	0	0	2.32	1
cell_6279	Epiblast	4A	-1.87E+00	-2.18E+00	3.51E+00	0	1	1	0	0	0	0	1	0	0	3	1
cell_5916	Epiblast	4A	-2.57E+00	-1.57E+00	4.05E+00	0	2	2.58	4	0	0	0	3.7	1.58	0	3.17	1
cell_5476	Epiblast	4A	-2.62E+00	-1.10E-01	4.31E+00	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6780	Epiblast	4A	-1.22E+00	1.80E-01	3.59E+00	0	1	0	0	0	0	0	0	0	0	2	1
