Cell	Celltype	Location	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_6080 	PSLC	3P	0	1.58	0	0	0	1	0	1	0	0	0	2
cell_6155 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6179 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	1.58	2
cell_6587 	PSLC	3P	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_7005 	PSLC	3P	0	0	0	0	0	0	0	1	0	0	0	2
cell_7149 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	1.58	2
cell_7160 	PSLC	3P	0	2.32	0	0	0	0	0	1.58	0	0	3.32	2
cell_7596 	PSLC	3P	0	1.58	0	0	0	0	0	1	0	0	1	2
cell_5625 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	2.58	2
cell_6861 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_5459 	PSLC	3P	0	2.32	0	0	0	0	0	0	0	0	1	2
cell_6959 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7335 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	2	2
cell_6614 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	0	2
cell_6774 	PSLC	3P	0	2.81	0	0	0	0	0	2	0	0	2.81	2
cell_6431 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	0	2
cell_5461 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6299 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5544 	PSLC	3P	1	1	2	0	0	0	0	1.58	1	0	3	2
cell_5686 	PSLC	3P	1	0	0	0	0	0	0	1.58	1	0	2	2
cell_6041 	PSLC	3P	0	0	0	0	0	0	0	1.58	1	0	1.58	2
cell_6196 	PSLC	3P	0	0	0	0	0	0	0	1.58	0	0	3.17	2
cell_6419 	PSLC	3P	0	2.58	0	0	0	0	0	0	0	0	2.81	2
cell_6772 	PSLC	3P	1	0	1	0	0	1	0	1	0	0	3.17	2
cell_6915 	PSLC	3P	0	2.58	0	0	0	0	0	0	1	0	2.58	2
cell_7531 	PSLC	3P	2	0	1.58	0	0	0	0	1	1	0	3.91	2
cell_7600 	PSLC	3P	0	1	0	0	1	0	0	2.32	0	0	2.32	2
cell_7606 	PSLC	3P	0	0	0	0	0	0	0	2	0	0	1.58	2
cell_5723 	PSLC	3P	0	0	0	0	0	0	0	1.58	0	0	2.32	2
cell_6604 	PSLC	3P	0	0	1.58	0	0	0	0	1.58	1.58	0	2	2
cell_6891 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	2.32	2
cell_5701 	PSLC	3P	2.32	1	2.81	3	0	0	0	1	1	0	2.32	2
cell_5982 	PSLC	3P	1	0	1	0	0	0	0	2.32	0	0	0	2
cell_7394 	PSLC	3P	0	1	1	0	0	0	0	2	0	0	2.58	2
cell_7128 	PSLC	3P	0	1	1.58	0	0	0	0	2.58	0	0	2.32	2
cell_7322 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_6077 	PSLC	3P	0	1	2.32	0	0	0	0	1	0	0	2.58	2
cell_6442 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	1	2
cell_6654 	PSLC	3P	0	0	0	0	0	0	0	1	0	0	4	2
cell_6880 	PSLC	3P	0	0	0	0	0	0	0	0	1	0	2	2
cell_6905 	PSLC	3P	1	1	0	0	0	0	0	1.58	0	0	1.58	2
cell_5793 	PSLC	3P	0	2.32	1	0	0	1	0	2	1	0	3	2
cell_5761 	PSLC	3P	0	1	1	0	0	0	0	1.58	0	0	2.58	2
cell_6415 	PSLC	3P	1.58	0	1	1	0	1	0	1	0	0	3	2
cell_5587 	PSLC	3P	0	0	0	0	0	0	0	0	1	0	2	2
cell_5619 	PSLC	3P	0	0	0	0	0	1	0	1.58	0	0	2.32	2
cell_6107 	PSLC	3P	1.58	0	1	0	0	0	0	1.58	0	0	2.81	2
cell_6383 	PSLC	3P	0	0	0	0	0	0	0	1	0	0	3	2
cell_7415 	PSLC	3P	0	1.58	1	0	0	0	0	0	1.58	0	2	2
cell_7536 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	3.46	2
cell_6789 	Epiblast	4A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6968 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5673 	Epiblast	4A	0	3.46	0	0	0	0	0	0	0	0	1	1
cell_5965 	Epiblast	4A	0	1	0	0	0	0	0	2	1	0	2.58	1
cell_5653 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	2	1
cell_6240 	Epiblast	4A	0	2	0	0	0	0	0	0	1	0	0	1
cell_7609 	Epiblast	4A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5620 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	1	1
cell_5679 	Epiblast	4A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6501 	Epiblast	4A	0	1	0	0	0	1.58	0	0	0	0	0	1
cell_6784 	Epiblast	4A	0	3.46	0	0	0	0	0	1	0	0	0	1
cell_6923 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7084 	Epiblast	4A	0	3.81	0	0	0	0	0	0	0	0	0	1
cell_7176 	Epiblast	4A	1	2.58	0	0	0	0	0	0	0	0	0	1
cell_5775 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5458 	Epiblast	4A	0	2.58	0	0	0	0	0	0	0	0	1.58	1
cell_6632 	Epiblast	4A	0	1.58	0	0	0	0	0	1.58	0	0	2.32	1
cell_6714 	Epiblast	4A	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_6682 	Epiblast	4A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6803 	Epiblast	4A	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_5582 	Epiblast	4A	0	2	0	0	0	0	0	1	0	0	0	1
cell_6312 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6420 	Epiblast	4A	0	2.81	0	0	0	0	0	1	0	0	2.32	1
cell_5460 	Epiblast	4A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6884 	Epiblast	4A	0	2.58	0	0	0	0	0	1	0	0	1	1
cell_5827 	Epiblast	4A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5859 	Epiblast	4A	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_6548 	Epiblast	4A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6725 	Epiblast	4A	0	2	0	0	0	0	0	1	0	0	0	1
cell_6158 	Epiblast	4A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_5485 	Epiblast	4A	0	2	0	0	0	0	0	1	0	0	1	1
cell_5604 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	1	1
cell_5905 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6030 	Epiblast	4A	0	1	0	0	0	0	0	1.58	0	0	1	1
cell_6136 	Epiblast	4A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6346 	Epiblast	4A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_6437 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6468 	Epiblast	4A	0	1.58	0	0	0	0	0	1	0	0	2.81	1
cell_6886 	Epiblast	4A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7294 	Epiblast	4A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7538 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7598 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6890 	Epiblast	4A	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_7292 	Epiblast	4A	0	2.58	0	0	0	0	0	0	1	0	1.58	1
cell_6908 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7136 	Epiblast	4A	0	1.58	0	0	0	0	0	2	0	0	2.58	1
cell_6747 	Epiblast	4A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6395 	Epiblast	4A	0	1.58	0	0	0	0	0	1	0	0	0	1
cell_5627 	Epiblast	4A	0	1	0	0	0	0	0	1	0	0	1.58	1
cell_6006 	Epiblast	4A	0	1	0	0	0	0	0	1.58	0	0	1	1
cell_5959 	Epiblast	4A	0	1	0	0	0	0	0	0	1	0	1	1
cell_6056 	Epiblast	4A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7123 	Epiblast	4A	1	1.58	0	0	0	0	0	0	0	0	0	1
cell_6416 	Epiblast	4A	0	2.58	2	2.32	0	0	0	1.58	0	0	2.32	1
cell_6279 	Epiblast	4A	0	1	1	0	0	0	0	1	0	0	3	1
cell_5916 	Epiblast	4A	0	2	2.58	4	0	0	0	3.7	1.58	0	3.17	1
cell_5476 	Epiblast	4A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6780 	Epiblast	4A	0	1	0	0	0	0	0	0	0	0	2	1
cell_7451 	Epiblast	4A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6813 	PSLC	4P	0	1	0	0	0	0	0	0	0	0	1.58	2
cell_5516 	PSLC	4P	1	2.32	0	0	0	0	0	2.32	1	0	3	2
cell_7112 	PSLC	4P	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_7243 	PSLC	4P	0	0	0	0	0	0	0	0	0	0	1	2
cell_6862 	PSLC	4P	1	2.58	0	0	0	1	0	2	1.58	0	2.32	2
cell_5674 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5839 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	2	2
cell_5986 	PSLC	4P	0	1	0	0	0	0	0	1.58	0	0	2.81	2
cell_6217 	PSLC	4P	0	0	0	0	0	0	0	1	0	0	1	2
cell_6311 	PSLC	4P	0	0	0	0	0	0	0	1	0	0	2.32	2
cell_6625 	PSLC	4P	0	1	0	0	0	1	0	0	0	0	1.58	2
cell_7399 	PSLC	4P	0	2.32	1	0	0	0	0	2.58	0	0	4.39	2
cell_5725 	PSLC	4P	0	1	0	0	0	0	0	0	0	0	1	2
cell_6469 	PSLC	4P	0	1	0	0	0	0	0	0	0	0	1	2
cell_7254 	PSLC	4P	0	2.58	0	0	0	0	0	0	0	0	0	2
cell_5830 	PSLC	4P	0	2.81	0	0	0	0	0	1.58	1	0	3.58	2
cell_6022 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	1.58	2
cell_6219 	PSLC	4P	0	2.58	0	0	0	0	0	0	0	0	0	2
cell_6601 	PSLC	4P	0	1.58	0	0	0	1.58	0	0	0	0	1	2
cell_6210 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	1.58	2
cell_5815 	PSLC	4P	0	2.81	0	0	0	0	0	0	0	0	0	2
cell_5576 	PSLC	4P	0	2.32	1.58	0	0	0	0	1.58	0	0	0	2
cell_5811 	PSLC	4P	0	2	0	0	0	0	0	1	0	0	0	2
cell_6368 	PSLC	4P	0	1	0	0	0	0	0	2.32	0	0	2	2
cell_7305 	PSLC	4P	0	1.58	0	0	0	0	0	1	0	0	2.81	2
cell_7375 	PSLC	4P	0	1	0	0	0	0	0	1	1	0	2	2
cell_7422 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_5465 	PSLC	4P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7181 	PSLC	4P	0	2.32	0	0	0	0	0	1	0	0	2	2
cell_7225 	PSLC	4P	2.32	0	1	3.32	0	0	0	1	0	0	2	2
cell_6005 	PSLC	4P	1	0	0	0	0	0	0	1	0	0	2.81	2
cell_5511 	PSLC	4P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6964 	PSLC	4P	0	1	1	0	0	0	0	1	0	0	2.58	2
cell_7362 	PSLC	4P	0	1	2	0	0	0	0	3.17	0	0	3.17	2
cell_7551 	PSLC	4P	0	1	0	0	0	1	0	1.58	1	0	2.81	2
cell_6394 	PSLC	4P	1	0	1	0	0	0	0	1.58	1.58	0	2.32	2
cell_6358 	PSLC	4P	0	0	2.32	0	0	1	0	2.32	0	0	2.81	2
cell_6114 	PSLC	4P	0	0	0	1	0	0	0	1	0	0	3.17	2
cell_6529 	PSLC	4P	0	0	1	0	0	0	0	1	0	0	2	2
cell_6408 	PSLC	4P	1	0	1.58	3.91	0	1	0	1.58	1	0	3.58	2
cell_7002 	PSLC	4P	1.58	1	1.58	0	0	0	0	3.58	2.32	0	4.25	2
cell_6767 	PSLC	4P	0	1.58	0	0	0	0	0	2.58	1	0	2.32	2
cell_6243 	PSLC	4P	2.81	0	1.58	0	0	0	0	2	0	0	3.32	2
cell_6732 	PSLC	4P	0	1	0	0	0	0	0	1	0	0	2.58	2
cell_7219 	Epiblast	5A	0	0	0	0	2	0	0	1.58	0	0	2.81	1
cell_5526 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	1	1
cell_6895 	Epiblast	5A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_5543 	Epiblast	5A	0	1.58	0	2.58	0	0	0	1	1.58	0	1	1
cell_7230 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6572 	Epiblast	5A	0	0	0	0	0	1	0	0	1	0	2.58	1
cell_5800 	Epiblast	5A	0	1.58	0	0	0	0	0	1	0	0	1	1
cell_7235 	Epiblast	5A	0	2	0	0	0	0	0	0	0	0	2.58	1
cell_5638 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7443 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5518 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5599 	Epiblast	5A	0	2.58	0	0	0	0	0	0	0	0	2	1
cell_6417 	Epiblast	5A	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_7325 	Epiblast	5A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6182 	Epiblast	5A	0	1	0	0	0	0	0	0	1	0	1	1
cell_6283 	Epiblast	5A	0	0	0	0	0	0	0	0	1	0	1	1
cell_6703 	Epiblast	5A	0	2	0	0	0	0	0	2	0	0	2	1
cell_6972 	Epiblast	5A	0	1	0	0	0	1	0	0	0	0	0	1
cell_6363 	Epiblast	5A	0	0	0	0	0	0	0	1	0	0	0	1
cell_6934 	Epiblast	5A	0	3.58	0	0	0	1	1	0	0	0	2	1
cell_6976 	Epiblast	5A	0	1	1	0	0	0	0	1	0	0	1	1
cell_5773 	Epiblast	5A	0	2.32	0	0	0	1	0	0	0	0	0	1
cell_5565 	Epiblast	5A	0	2	0	0	0	0	0	1	0	0	0	1
cell_7281 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5911 	Epiblast	5A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6450 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5596 	Epiblast	5A	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_5671 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5788 	Epiblast	5A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_5977 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6189 	Epiblast	5A	0	0	0	0	0	0	0	0	0	0	1	1
cell_6289 	Epiblast	5A	0	0	0	0	0	0	0	1	0	0	0	1
cell_6694 	Epiblast	5A	0	0	0	0	0	1	0	0	0	0	0	1
cell_6822 	Epiblast	5A	1	1	1	0	0	0	0	1	1	0	3.32	1
cell_6961 	Epiblast	5A	0	1	0	0	0	0	0	2	0	0	1	1
cell_7140 	Epiblast	5A	0	1.58	0	0	0	1	0	2	1.58	0	2	1
cell_7223 	Epiblast	5A	0	0	0	0	0	0	0	1	0	0	3.58	1
cell_7570 	Epiblast	5A	0	2.32	0	0	0	0	0	1	0	0	2	1
cell_7155 	Epiblast	5A	0	0	0	0	0	0	0	1	0	0	2	1
cell_6276 	Epiblast	5A	0	3	0	0	0	0	0	1	0	0	0	1
cell_6864 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	2.81	1
cell_7086 	Epiblast	5A	0	3.17	0	0	0	0	0	1.58	0	0	0	1
cell_5708 	Epiblast	5A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5887 	Epiblast	5A	0	1	0	0	0	0	0	1	0	0	0	1
cell_5913 	Epiblast	5A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6432 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	1.58	1
cell_6520 	Epiblast	5A	0	2.58	0	0	0	0	0	1	0	0	2.58	1
cell_6646 	Epiblast	5A	0	0	0	0	0	0	0	0	0	0	1.58	1
cell_6775 	Epiblast	5A	0	2.81	0	0	0	0	0	0	0	0	2.32	1
cell_6811 	Epiblast	5A	0	1	0	0	0	0	0	0	1	0	0	1
cell_6830 	Epiblast	5A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6969 	Epiblast	5A	1	2	1	0	0	0	0	1	0	0	0	1
cell_7018 	Epiblast	5A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_7103 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7298 	Epiblast	5A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7381 	Epiblast	5A	0	2	0	0	0	1	0	0	0	0	1	1
cell_7446 	Epiblast	5A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7450 	Epiblast	5A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7589 	Epiblast	5A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6282 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6473 	Epiblast	5A	2.32	0	2	3.17	0	0	0	1	0	0	2.58	1
cell_6377 	Epiblast	5A	2	0	2.58	2.58	0	0	0	2	0	0	3.58	1
cell_6642 	Epiblast	5A	0	2	1	0	3	1	0	2	0	0	2	1
cell_6479 	Epiblast	5A	0	0	0	0	0	0	0	2	0	0	2	1
cell_7526 	Epiblast	5A	0	1	1	0	0	0	0	2.32	0	0	3.7	1
cell_6340 	Epiblast	5A	0	2	1	0	1.58	0	0	1.58	0	0	2	1
cell_6993 	Epiblast	5A	0	0	0	0	0	0	0	1	0	0	2.32	1
cell_5906 	Epiblast	5A	0	1	0	0	0	0	0	0	0	0	2.81	1
cell_6170 	Epiblast	5A	1	1	0	0	0	0	0	0	1.58	0	3	1
cell_6458 	PSLC	5P	0	2.32	0	0	0	1	0	1	0	0	0	2
cell_5610 	PSLC	5P	0	2.32	0	0	0	1	0	0	0	0	0	2
cell_6741 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	1.58	2
cell_5600 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6081 	PSLC	5P	0	1.58	0	0	0	0	0	2.58	1	0	2	2
cell_7364 	PSLC	5P	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_5709 	PSLC	5P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5863 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	2.32	2
cell_5910 	PSLC	5P	0	2.32	0	0	0	0	0	0	0	0	1	2
cell_6012 	PSLC	5P	0	2	0	0	0	0	0	1	0	0	1	2
cell_6490 	PSLC	5P	0	1	0	0	0	0	0	1	0	0	4.32	2
cell_6575 	PSLC	5P	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_6665 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6807 	PSLC	5P	0	2	0	0	0	0	0	0	0	0	0	2
cell_6150 	PSLC	5P	0	3	0	0	0	1	0	1	0	0	0	2
cell_7091 	PSLC	5P	0	1	0	0	0	0	0	1	0	0	1	2
cell_6117 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	0	2
cell_5804 	PSLC	5P	0	0	0	0	0	1	0	0	0	0	1	2
cell_6786 	PSLC	5P	0	1.58	0	0	0	0	0	1	1	0	2.58	2
cell_5957 	PSLC	5P	0	3	0	0	0	0	1	0	0	0	0	2
cell_5539 	PSLC	5P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5901 	PSLC	5P	0	2.58	0	0	0	0	0	0	0	0	0	2
cell_6118 	PSLC	5P	0	2	0	0	0	0	0	0	0	0	0	2
cell_6573 	PSLC	5P	0	3.46	0	0	0	0	0	0	0	0	0	2
cell_7185 	PSLC	5P	0	2	0	0	0	0	0	1	0	0	1.58	2
cell_7304 	PSLC	5P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7548 	PSLC	5P	0	2.32	0	0	0	1.58	0	1.58	0	0	0	2
cell_7574 	PSLC	5P	0	3.32	0	0	0	0	0	1	0	0	1	2
cell_5635 	PSLC	5P	0	1	1.58	0	0	0	0	2.58	0	0	1	2
cell_6621 	PSLC	5P	0	3	0	0	2.32	0	0	1	0	0	2.81	2
cell_7173 	PSLC	5P	0	0	0	0	0	0	0	3	0	0	1.58	2
cell_6568 	PSLC	5P	0	0	0	0	0	0	0	1.58	0	0	3.81	2
cell_6098 	PSLC	5P	0	1.58	0	0	0	1	0	1	1	0	1	2
cell_6994 	PSLC	5P	0	1.58	0	0	0	0	0	1	1	0	1.58	2
cell_5632 	PSLC	5P	1.58	0	1.58	0	0	1	0	2.32	0	0	2.81	2
cell_5487 	PSLC	5P	2	0	0	0	0	0	0	1	0	0	3.58	2
cell_6403 	PSLC	5P	0	0	0	0	0	0	0	0	0	0	2	2
cell_6975 	PSLC	5P	0	1.58	0	0	0	0	0	1.58	0	0	2	2
cell_7573 	PSLC	5P	1.58	0	0	0	0	0	0	2	0	0	2.32	2
cell_6226 	Epiblast	6A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6721 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7435 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7592 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6428 	Epiblast	6A	0	1.58	0	0	0	1	0	1.58	0	0	1	1
cell_7352 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7582 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6229 	Epiblast	6A	0	1	0	0	0	1	0	0	0	0	2	1
cell_6355 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6525 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_5908 	Epiblast	6A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5791 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6281 	Epiblast	6A	0	3	0	0	0	0	0	0	0	0	1	1
cell_6555 	Epiblast	6A	0	1.58	0	0	0	1	0	0	0	0	1.58	1
cell_6810 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6918 	Epiblast	6A	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_5742 	Epiblast	6A	0	1.58	0	0	0	1	0	1	0	0	1.58	1
cell_7284 	Epiblast	6A	0	0	1	0	0	0	0	0	0	0	1.58	1
cell_6680 	Epiblast	6A	0	1	0	0	0	1	0	0	0	0	0	1
cell_7391 	Epiblast	6A	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_6010 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6191 	Epiblast	6A	0	1	3.17	0	0	0	0	1.58	0	0	2.81	1
cell_6530 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6829 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6991 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7109 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7383 	Epiblast	6A	0	2.32	0	0	0	0	0	1	0	0	1.58	1
cell_7560 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5856 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6977 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6998 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7269 	Epiblast	6A	0	3	0	0	0	0	0	0	0	0	0	1
cell_6234 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6571 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6622 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6802 	Epiblast	6A	0	2.32	0	0	0	0	0	2	0	0	0	1
cell_6558 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6887 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5463 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5640 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5661 	Epiblast	6A	0	2.81	0	0	0	0	0	1	0	0	0	1
cell_5704 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_5871 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5956 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_6044 	Epiblast	6A	0	2.81	0	0	0	0	0	0	0	0	1.58	1
cell_6094 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6102 	Epiblast	6A	0	2.32	0	0	0	1	0	1	0	0	1.58	1
cell_6139 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6323 	Epiblast	6A	0	1.58	0	0	0	1	0	0	0	0	3.58	1
cell_6381 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6436 	Epiblast	6A	0	1.58	0	0	0	0	0	1	0	0	1.58	1
cell_6487 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6561 	Epiblast	6A	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_6739 	Epiblast	6A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_6782 	Epiblast	6A	0	3	0	0	0	0	0	1	0	0	0	1
cell_6836 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6855 	Epiblast	6A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6925 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7182 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7183 	Epiblast	6A	0	3.17	0	0	0	0	0	1.58	0	0	2	1
cell_7256 	Epiblast	6A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7519 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5666 	Epiblast	6A	0	1	0	0	0	0	0	1	1.58	0	2	1
cell_5515 	Epiblast	6A	0	2.32	0	0	0	1	0	0	0	0	0	1
cell_5603 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	1	1
cell_6580 	Epiblast	6A	0	1	0	0	0	0	0	0	1	0	0	1
cell_7090 	Epiblast	6A	0	2.32	0	0	0	0	0	1	0	0	1.58	1
cell_7289 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7409 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	1	1
cell_7484 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6711 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	1	1
cell_6793 	Epiblast	6A	0	1	0	0	0	1	0	0	0	0	1.58	1
cell_6795 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5509 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	0	1
