Genes	1AP	2A	2P	3A	3P	4A	4P	5A	5P	6A	6P	7A	7P	8A	8P
Ccpg1	0.9	0.8	0.6	1.6	0.7	1.7	0.7	1.7	0.3	1.8	0.2	1.6	1.6	0.8	0.5
Ccrn4l	2.6	2.5	2.8	3	3	3.1	3.2	3.1	2.7	3.1	2.9	3	2.7	4	3.3
Ccs	2	3.7	4.5	4	4.3	4.1	4	4.1	4.4	4.8	4.5	4.5	4.9	5.6	4.7
Ccsap	0.9	0.3	1.1	0.9	0.8	0.6	0.4	0.3	0.9	0.9	0.9	1.9	0.7	0.4	1.6
Ccser1	0	0	0	0	0.2	0.2	0.3	0.4	0	0.1	0	0.1	0.1	0	0
Ccser2	0.4	1.1	0.6	1.5	0.9	1.7	1.2	1.9	1.1	1.2	0.8	1.4	1.5	2.1	2.3
Cct2	6.8	7.9	8	8	8	8	8	8	8.2	8.3	8.3	8.3	8.3	8.3	8.4
Cct3	5.9	7.5	7.9	7.5	7.9	7.5	7.8	7.5	7.6	8	8.1	7.9	8	8.2	8.1
Cct4	5.8	7.1	7.3	7.4	7.3	7.4	7.3	7.3	7.3	7.6	7.8	7.3	7.5	7.6	7.5
Cct5	6.8	7.9	7.9	8	8	8	8	8	8	8.4	8.6	8.2	8.4	8.5	8.5
Cct6a	6.2	7.1	7.5	7.4	7.5	7.4	7.4	7.3	7.2	7.5	8	7.3	7.7	7.5	7.3
Cct7	6.1	7.4	7.6	7.6	7.6	7.5	7.5	7.3	7.6	7.9	8	7.7	7.8	7.9	7.7
Cct8	6.5	7.6	7.8	7.9	7.8	7.9	7.8	7.8	7.9	8	8.3	8	8.2	8.2	8.3
Ccz1	3.7	4.8	4.1	4.8	4.4	4.8	4.7	4.8	4.4	5	5.2	4.9	5.4	5	4.9
Cd151	2.4	3.4	2.6	4	3.1	3.6	3.5	3.1	3.5	4.1	3.2	3.7	3.9	4.1	3.3
Cd160	0	0.2	0	0.4	0	0.4	0	0.4	0	0	0	0	1.2	0	0.8
Cd164	4.1	4.9	4.9	5.5	5.1	5.3	5.3	5	5.4	5.1	5.9	5.1	5	5.6	5.7
Cd164l2	0	1.8	2.4	0.9	1.2	0.5	0	0	1.9	1.3	2.3	3.2	1.1	2.3	3
Cd2	0	0	0	0	0	0	0	0	1.6	0.9	0	0	0	0	0
Cd200	0.4	0	0	0	0.1	0.1	0.2	0.2	1	0	0	0.3	1	0	0
Cd209c	1.6	2.3	2.4	1.5	1.8	1.5	1.2	1.4	2.4	1.3	2.7	1.2	1.9	1.9	2.1
Cd24a	5.4	6.1	6	6.5	6.2	6.5	6.3	6.5	5.9	6.9	6.5	6.7	6.2	6.6	5.6
Cd274	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0
Cd276	3	3	3.1	3.4	3.3	3.5	3.5	3.6	3.3	3.8	3.6	4	3.1	4.1	4
Cd2ap	3.2	3.9	3.5	3.8	3.8	3.8	4	3.8	3.7	4.1	3.8	3.9	3.9	4	3.7
Cd2bp2	3.3	3.7	3.9	3.5	3.8	3.6	3.6	3.6	3.9	4.3	4	3.9	4.2	4.2	4.3
Cd300e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd302	0	1.8	2.2	2	2.5	2.1	2.8	2.2	1.3	2.4	1.6	3.6	2.7	1.8	3.4
Cd320	3.2	4.5	5	4.6	4.9	4.4	4.7	4.2	5	4.7	5.2	4.1	5	5.1	5.1
Cd34	0	0	0.9	1.5	0.9	1.3	0.9	1.1	0	1	0.1	1.3	0	0	0.8
Cd38	0	0.8	1.2	1	0.6	0.8	0	0.5	0.4	0	0.2	0	0.4	0.3	1
Cd3eap	2.6	3.9	4.6	3.9	4.2	4	3.8	4.1	4.2	4.4	4.2	3.8	4.2	4.7	4.1
Cd40	0	0.3	0.7	1	0.9	1.3	1	1.5	2	0.9	1.3	0.3	2.5	0.7	0
Cd44	1.4	1.6	0.5	0.2	0.5	0.6	0.5	0.9	0.7	1.1	0.6	0.5	0.4	1	1.3
Cd47	1.4	1.7	1.5	1.3	1.6	1.7	1.7	2.1	2	2.3	1.4	1.8	2.1	1.6	1.8
Cd52	0	0	0	0	0	0	0	0	0	1.5	0.8	0	0	0	0
Cd55	0.4	0.2	0.3	0.6	0.2	0.4	0	0.2	0	0.9	0	0	0.5	0.8	0
Cd59a	1.2	0.3	1.2	0.3	0.6	0.5	0	0.7	0.3	0.9	0.8	0.3	1.3	0.2	0.6
Cd59b	1.1	1	0	0	0.3	0	0.6	0	0.6	2	1.1	0.6	0.6	1.2	0.5
Cd6	0.3	0.9	0.3	0.2	0.2	0.4	0	0.6	0	0	0.4	0	1.1	0.6	0
Cd63	5	5.6	5.5	5.4	5.3	5.4	5.1	5.4	5.3	5.9	5.5	5.7	6.1	6.6	6.1
Cd68	0	0.5	0	0.9	0.4	0.7	0.8	0.5	0	0	0.3	0	0.8	1.4	2.1
Cd72	0.7	0.4	0	0.4	0.2	0.4	0.3	0.4	0.4	1	0.5	0.8	1.3	1.4	0.9
Cd79a	2	1.3	0	1	0.3	0.8	0.6	0.6	0	1.9	0	0	0	0.8	0
Cd81	3.4	5.7	5.7	5.5	5.7	5.8	5.7	6.1	5.3	5.6	6	5.8	5.9	6.1	5.8
Cd82	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
Cd84	0.3	0.6	0.6	0.6	0.4	0.5	0.2	0.4	0	0.7	0.2	0.7	0.4	0.5	0.2
Cd8a	0	0	0	0.3	0	0.2	0	0	0	0.7	0	0	0	0	0
Cd9	3.5	4.3	4.2	3.7	4.4	4.2	4.5	4.7	3.1	4.4	4.8	5.2	4.1	4.9	4.6
Cd97	1	0.2	0	0	0.2	0.1	0.4	0.2	0.5	0.3	0	0	0	0.1	0
Cd99l2	1.2	1.5	0.9	0.5	0.8	0.7	0.7	0.9	1.7	0.8	0.5	0.1	0.4	1.9	2.4
Cda	1	1	4.2	0.7	3.5	0.9	2.8	1	3.5	2.5	3.9	1.5	4.1	4.6	3.9
Cdadc1	2.4	2.2	2.4	2.6	2.5	2.4	2.5	2.1	3	1.9	2.5	3.1	3.4	3.4	3.1
Cdan1	1.3	1	1.3	1.1	1.1	1.1	0.9	1.1	0.9	1.1	1.5	1.2	0.5	0.9	1.2
Cdc123	4.6	5.3	6	6.2	6.1	6.1	6.1	6	6.1	6.3	6.6	6.2	6.8	6.3	6.2
Cdc14a	1.3	2.1	1.6	1.9	1.7	2.1	1.8	2.2	2.4	1.2	1.5	2.5	2.5	2.2	2.1
Cdc14b	2	2.7	2.8	2.5	2.9	2.8	2.9	3	3.1	2.6	3.1	2.9	3.2	3.3	3.3
Cdc16	2.9	4.4	4.5	4.6	4.3	4.3	4	4	4.5	4.7	5.1	4.5	5.1	4.9	4.7
Cdc20	5.1	6.5	6.6	6.5	6.7	6.7	6.8	6.9	6.7	7.1	7.1	6.7	6.9	7	7.2
Cdc23	3.1	4.3	4.6	4.3	4.6	4.6	4.5	4.8	4.4	4.6	4.7	4.6	4.9	4.8	4.9
Cdc25a	3.4	4.2	4	4.3	4.3	4.3	4.5	4.3	4.2	4.4	4	4.3	4.5	4.3	4.4
Cdc25b	0.8	1.7	1	1.7	1.4	2	1.7	2.3	1.2	1.7	1.5	2.3	1.2	2.4	1.9
Cdc25c	2.2	3.3	4	2.4	3.7	2.8	3.4	3.2	3	3.3	3.4	1.9	3.3	3.4	3.2
Cdc26	5.3	6.6	6.4	6.2	6.5	6.3	6.5	6.3	6.3	6.8	7	6.3	6.8	6.8	6.7
Cdc27	2.3	3.7	3.6	3.2	3.7	3.3	3.7	3.4	3.5	3.5	3.6	3.5	3.6	3.9	4
Cdc34	5.6	6.5	6.5	6.4	6.5	6.4	6.4	6.4	6.9	6.9	6.8	7.2	6.9	7.1	6.9
Cdc37	4.1	5.5	5.9	5.4	5.7	5.5	5.5	5.6	5.6	6.1	6.4	5.9	5.9	6.1	6
Cdc37l1	3	2.1	3.4	2.6	3	3	2.5	3.3	3.2	1.9	3.2	3.2	2.9	2.8	2.7
Cdc40	2.7	3.2	2.9	3.1	3	3.2	3	3.2	3.2	2.7	3.8	3.5	3.3	3.4	3.3
Cdc42	5.6	6.7	6.7	6.9	6.8	6.9	6.9	6.9	6.9	7.1	7.3	7.2	7.1	7	7
Cdc42bpa	0.9	1.2	1.4	1.4	1.3	1.2	1.2	0.9	1	0.6	0.9	1	1.6	1.3	1.6
Cdc42bpb	0.6	1.9	1.7	1.5	1.8	1.6	1.8	1.7	2	2.1	1.4	2.2	1.7	1.7	2.1
Cdc42bpg	0	0.2	0.2	0.7	0.5	0.7	0.7	0.6	1.1	0.3	0.5	0.8	0.8	0.1	0.7
Cdc42ep1	0	0.2	0	1.2	0.4	0.6	0.7	0	0.6	0.5	0.4	0.2	0.7	0.5	1
Cdc42ep2	1	0	0	0.9	0.4	0.5	0.8	0	0	0.7	0.6	0.3	0	0.5	1
Cdc42ep3	0.5	0.6	1.5	1.2	1	0.9	0.4	0.6	0	0.7	0.3	0.4	1.3	0.5	1
Cdc42ep4	1	1	1.6	0.7	1.7	0.8	1.8	0.9	2.6	2.4	3.7	1.6	3.4	2.4	3.3
Cdc42ep5	1	3.3	2.3	2.6	2.8	2.5	3.3	2.3	2.5	2.6	3.7	3.3	3.4	4.2	4
Cdc42se1	2.3	3.5	3.2	3.7	3.3	3.6	3.3	3.4	3.9	4.2	4.5	3.9	4.4	3.8	4.3
Cdc42se2	2.7	3.2	3.6	3.4	3.5	3.4	3.4	3.4	4.1	4.1	4	3.8	4.1	4.1	4.4
Cdc45	2.4	3.5	3.8	3.5	3.7	3.4	3.5	3.3	3.8	3.3	4.5	4	2.6	4.1	4
Cdc5l	4.2	5.1	5.2	4.9	5.1	5.2	5	5.5	5.3	5.3	5.4	5.3	5.5	5.3	5.4
Cdc6	2.6	3.6	2.9	2.8	3.2	3.4	3.4	4	3.1	3.2	3.6	3.7	2.9	3.7	3.7
Cdc7	3.6	3.6	3	2.9	3.4	3.7	3.7	4.4	3.1	3.2	3.5	3.5	3.8	4.2	3.1
Cdc73	2.9	3	3.9	4.2	3.6	3.9	3.2	3.6	3.1	3.4	3.7	3.9	3.9	3.8	3.4
Cdca2	2.2	3	3.8	3.3	3.6	3.4	3.4	3.4	3.4	3.2	3.6	3.3	3.7	3.7	3.9
Cdca3	3.8	5.6	5.8	5.8	5.7	5.7	5.6	5.5	5.2	6.1	6.1	6.1	6.4	6.3	5.7
Cdca4	3.4	4.2	5.1	4.8	4.8	4.6	4.5	4.3	4.9	5	4.8	4.8	4.9	5.3	4.7
Cdca5	3.4	5.2	5	5.1	4.9	5.2	4.8	5.2	4.5	5.3	5.2	5.3	4.9	5.2	5.2
Cdca7	5.7	6.3	6.3	6.2	6.3	6.4	6.2	6.5	6.2	6.6	6.3	6.5	6.5	6.5	6.5
Cdca7l	2.4	2.7	3.5	3	3.4	3.1	3.3	3.2	3.1	3.1	3.8	3.4	3.3	3.1	3.5
Cdca8	5.1	6.5	6.7	6.1	6.6	6.2	6.4	6.2	6.5	6.7	6.6	6.5	6.8	6.7	6.8
Cdcp1	0.5	0.3	0.6	0.8	0.9	0.9	1.2	1	0.4	1.5	0.6	1.3	1.2	1.6	0.4
Cdh1	4.6	5.1	5	5.2	5	5.3	5	5.4	4.6	5.2	4.8	4.9	4.8	4.9	4.4
Cdh10	0.7	0.8	0	1.7	0.8	1.4	1.5	1	0.4	0.2	0.6	0.1	0.5	0.4	0.1
Cdh11	0	0.7	0.9	0.8	0.6	0.8	0.3	0.7	1.2	0.2	2.6	0.3	1.5	0.4	2.9
Cdh2	1.3	0.9	1.3	1.3	1.2	1.1	1.1	0.8	1.9	1.6	2.7	0.7	1.5	0.8	2
Cdh24	0	0.3	0.4	0.8	0.5	1.1	0.6	1.3	1	0.5	0.6	0.2	0.3	1	1.1
Cdh3	0.3	1.6	2.1	1.2	1.6	1.1	1	1	2	1.7	1.7	0.1	0.8	0.8	2.2
Cdh4	0.7	0.2	0	0.4	0.5	0.6	0.9	0.8	0.1	0.4	1	0.4	0.5	0.8	0.7
Cdh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr1	0.4	0	0.1	0	0.6	0	1	0	0.8	0.4	0.7	0	0.6	0.1	0.5
Cdhr2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdip1	1.7	2.7	2.7	3.1	2.8	3.1	2.9	3	3.5	3.4	3.3	3.3	3.6	3.9	3.3
Cdipt	2.6	3.2	3.5	4	3.9	3.8	4.2	3.5	4.5	4.1	4.3	4.1	3.9	4.7	4.7
Cdk1	4.7	5.4	6.2	5.7	6	5.8	5.8	5.8	6.1	5.8	6.5	6.4	6.7	6.2	6.2
Cdk10	2.8	3.3	4	3.3	3.7	3.2	3.4	3.1	2.7	2.9	3.6	3.6	2.8	3.1	2.5
Cdk11b	4.2	5	4.8	4.8	5	4.9	5.1	4.9	5.2	5.2	5	5.4	5.5	4.9	5.2
Cdk12	2.5	3.7	3.2	3.6	3.2	3.5	3.1	3.3	3.5	3.5	3.6	3.3	3.5	3.7	3.9
Cdk13	1.9	3	2.5	2.8	2.6	2.5	2.6	2.1	2.6	2.2	2.4	2.3	2.4	2.5	2.5
Cdk14	0.5	1.7	0.2	1	0.8	1.2	1.4	1.3	2	1.2	1.6	0.8	2.6	0.7	1.2
Cdk16	3.3	3.4	3.9	3.9	3.8	3.8	3.6	3.7	4.1	3.7	4	3.2	4.4	4	4.4
Cdk17	1.8	2.7	2.7	2.6	2.5	2.8	2.2	3	2.4	2.7	2.6	2.3	3.5	2.4	2.5
Cdk18	1.8	2	2.3	1.8	2.2	2.2	2.1	2.5	2.1	1.7	1.8	3.3	2.9	1.9	2.4
Cdk19	0.2	0.7	1.3	0.3	0.9	0.3	0.4	0.2	0.9	0	0.7	0.2	1.3	0.7	0.9
Cdk2	3.2	3.4	4.2	3.8	4	3.7	3.7	3.5	3.5	4.1	4.4	4.3	3.9	4	4.7
Cdk20	0.9	1.1	1.6	1.2	1.4	1.3	1.2	1.3	1.1	1.3	2	1.4	1.6	1.9	0.9
Cdk2ap1	6.7	7.5	7.4	7.6	7.5	7.7	7.5	7.7	8.1	7.7	7.9	7.9	8	7.9	8
Cdk2ap2	2.5	4.6	5.3	4.4	4.6	4.6	3.8	4.7	5	4.7	4.9	5	5.3	5.5	4.8
Cdk3-ps	0	0	0.6	0	0.3	0	0	0	0.3	0	0	0	0	0	0
Cdk4	6.7	8.1	8.4	8.3	8.4	8.4	8.4	8.4	8.4	8.8	8.9	8.7	8.9	8.6	8.8
Cdk5	2.7	2.8	3.2	2.4	2.9	2.7	2.5	3	1.3	3.6	2.5	3.4	2.9	3.5	2.3
Cdk5rap1	0	2	2.8	2.2	2.8	2.3	2.8	2.3	2.2	1.7	2.1	2.2	2.9	2.2	2.4
Cdk5rap2	2.3	2.1	2.3	2	2.1	2.2	1.9	2.3	2.6	1.9	2.5	2.2	2	1.9	2.4
Cdk5rap3	2.6	3.4	3.8	3.9	3.9	3.8	4	3.6	4	4.3	4.1	3.5	3.9	4.5	4.3
Cdk6	0	0	0.9	0.2	1.1	0.4	1.2	0.6	0.9	0.2	1.3	0.6	1.6	0.9	1
Cdk7	2.3	3	3.1	3.5	3.1	3.3	3.1	3.1	3	3	3.5	3	2.7	3.5	3.4
Cdk8	3.3	3.7	3.8	4	3.9	4.3	3.9	4.6	4	3.9	3.7	4.6	4.4	4.6	3.8
Cdk9	2.8	3.9	3.4	3.3	3.4	3.4	3.4	3.5	3.7	3.8	3.7	4.3	4	3.5	4.2
Cdkal1	1.3	2.4	2.3	1.4	2.5	2	2.7	2.5	2.5	2.5	2.5	2.6	3	2.7	2.8
Cdkl2	0.8	0.1	0	0.2	0.2	0.1	0.4	0	0	0.4	0	0.8	0.4	1.1	0
Cdkl3	0	1.3	1.4	1.3	2.1	1.3	2.8	1.3	1.8	1.1	0.8	0	0.9	0.5	1.4
Cdkl5	0.3	0.4	0.3	1	0.2	0.5	0	0	1.3	0	0.7	0.1	0.6	0.1	0.5
Cdkn1a	1.4	0.3	0	0	0.3	0.3	0.6	0.6	1.8	1.9	2.9	2.6	2.9	2	3.5
Cdkn1b	1.7	3.4	3.1	3.1	3.5	3.1	3.9	3.1	3.7	2.7	3.7	3.7	4	3.1	3.2
Cdkn1c	1.1	1.5	2.3	2.4	2.3	1.8	2.3	1.2	2.8	1.9	2	3.4	3.2	3.4	3.1
Cdkn2aip	1.6	1.8	1.1	1.4	1.9	1.6	2.6	1.7	2.3	1.6	2.6	1.2	1.9	1.2	2.6
Cdkn2aipnl	4	5.1	5.2	4.8	5.2	4.8	5.1	4.8	4.9	5.1	5.1	5.5	5.3	5.1	4.9
Cdkn2d	2	1.6	2.8	2.6	2.4	2.6	1.9	2.5	2.6	3	3.4	3.2	3.6	3.2	2.7
Cdkn3	1.7	3.5	2.9	3.8	2.7	3.3	2.5	2.8	3.2	2.2	3.9	2.8	3.9	2.8	5.1
Cdo1	0.6	0.3	0	0	0.7	0	1.4	0	0.8	0.9	0.9	0.3	1	0	1.3
Cdon	0.6	0.8	0.6	0.4	0.7	0.5	0.7	0.6	1.3	0.7	0.6	1.3	0.6	1.1	0.5
Cdpf1	1.6	4.1	4.3	4.1	4.1	3.8	3.8	3.5	4.2	4.3	3.9	3.7	4.8	4.2	2.4
Cdr2	2.3	2.1	2.4	1.5	2.3	1.9	2.2	2.2	2.8	2.2	2	2.7	2.6	2.9	2.4
Cdr2l	0.8	1.3	0.8	1.9	1.3	1.8	1.8	1.7	0.9	1.5	1.4	1.3	2.1	0.8	0.5
Cds1	0.9	0.4	1	0.1	0.7	0.2	0.4	0.2	0.2	0.6	0.4	0.9	0.9	0	0.3
Cds2	1.6	2	2.5	1.8	2.3	2.1	2	2.4	2	2.5	1.9	2.1	2.3	2.5	2.2
Cdt1	3.4	4.8	4.5	4.7	4.6	4.7	4.7	4.7	4.9	4.8	4.8	4.6	4.5	5.1	5.2
Cdv3	5.7	6.8	6.8	6.9	6.8	6.9	6.7	6.8	6.5	7	6.8	6.9	7	6.9	6.8
Cdx1	0	0	0	0	0	0	0	0	0.3	0	1.7	0	0.3	0	0.2
Cdx2	0	0	0	0	0	0	0	0	0	0	0	0.8	0	2.6	0
Cdyl	2.3	2.8	3.5	2.8	3.1	3	2.6	3.2	2.4	3	2.6	3.5	2	2.8	3.5
Cdyl2	0.1	0.5	0.1	0.3	0.3	0.2	0.5	0.1	0.1	0	0	0.2	0.6	0.6	0
Ceacam1	0	0.3	0	0.8	0.3	0.6	0.6	0.4	0.1	0	0.2	0	0.9	0.5	0.3
Ceacam10	0	0.5	0	0	0.5	0.3	1	0.5	0	0	0.8	0	0	0	1.1
Ceacam11	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0.7	0
Ceacam15	0	0.6	0	0	0	0	0	0	0.3	0	0	0	0	0	0
Ceacam2	0.3	0	0	0.3	0	0.2	0	0.1	0	0	0.1	0	0	0.2	0.1
Ceacam9	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cebpb	0.6	0	0.5	1.4	0.7	1.4	0.8	1.3	1.3	0.7	0.2	1.5	0	1.8	0.3
Cebpd	0	0.6	0.9	0.2	0.9	0.3	0.9	0.4	0.8	0	0.3	0.4	0.8	0.5	0.3
Cebpg	2	2.3	2.1	2.2	2.2	2.4	2.3	2.6	2.3	2.3	2.5	2.4	2.1	2.5	2.4
Cebpz	4	4.6	4.9	4.8	4.8	4.6	4.7	4.4	4.8	4.9	4.9	4.8	4.8	4.9	5.2
Cecr2	2.7	2.9	3.1	3.4	3.1	3.2	3.1	3	2.9	3.2	3	3.2	3.1	2.7	3.1
Cecr5	1.4	1.8	1.4	1.4	1.6	1.4	1.7	1.3	0	2.5	1.1	1.8	1.6	1.7	2.2
Celf1	4.2	4.6	4.3	4.2	4.4	4.5	4.4	4.7	4.4	4.5	4.8	4.7	4.8	4.8	4.7
Celf2	0.8	1.4	0.6	1.5	1	1.5	1.3	1.4	1.1	1.1	1	1.3	1.6	1.3	1.3
Celf3	0.6	0.5	0.2	0.7	0.1	0.5	0	0.2	0	0	0.5	0	0	0.7	0.1
Celf4	2.6	3.3	3.1	2.6	2.8	2.8	2.5	2.9	1.8	2.8	2.1	2.7	2.7	2	2.4
Celsr1	0.2	0.7	0.4	0.3	0.5	0.3	0.6	0.2	0.2	0.4	0.2	0.2	0.6	0.4	0
Celsr2	0.5	1.1	0.6	0.8	0.7	0.9	0.8	1	0.3	1.1	0.6	0.5	0.9	1	0.8
Cend1	1.3	1.4	1.9	2.8	2.4	2.4	2.9	1.9	2.6	2.8	2.2	0.3	0.7	2.6	0.4
Cenpa	4.6	6.5	6.6	6.4	6.5	6.3	6.4	6.2	6.5	6.5	6.7	6.3	6.7	6.8	6.6
Cenpb	2.3	3.4	3.4	2.1	3	2.4	2.6	2.6	3.1	3.4	2.8	2.9	3.1	3.4	2.6
Cenpc1	2.3	3.1	3	3.4	3.1	3.3	3.2	3.1	3.2	3	3.6	2.8	2.9	2.8	3
Cenpe	3.3	3.5	4	3.6	3.8	3.6	3.6	3.6	3.9	3.3	3.6	3.8	3.9	3.9	3.9
Cenpf	3.4	4.2	4.2	4.1	4	4.1	3.8	4	4.1	4.1	3.8	4.2	4.1	3.8	4.1
Cenph	4.4	5.1	5.2	5.1	5.4	5.2	5.5	5.3	5.2	5.3	5.5	5.1	5.2	5.3	5.7
Cenpi	1.4	1.8	1.4	2.2	2	2.1	2.5	1.9	2.1	2.3	2.4	2	3	1.9	1.8
Cenpj	1.4	1.9	1.6	1.7	2.1	2	2.5	2.2	2.4	1.9	2.7	2.3	2.2	1.1	2.3
Cenpk	4.1	5.5	5.7	5.4	5.7	5.5	5.7	5.5	5.3	5.5	5.6	5.4	5.7	5.4	5.1
Cenpl	2	3	3	2.5	2.9	2.6	2.8	2.6	3.2	2.7	3.8	3.2	3.9	3.1	2.3
Cenpm	2.3	4	3.7	4.4	3.3	3.9	2.8	3.4	3.2	4.6	4.1	4	4.4	4.3	3.4
Cenpn	2.8	3.9	4.6	3.5	4.2	3.8	3.7	4.1	4.3	4.6	4.3	4	4.2	4.2	4.1
Cenpo	0.9	1.4	1.8	1.4	1.9	1.7	2	1.9	1.9	1.9	1.9	2.4	1.8	2.1	2.5
Cenpp	3.7	4.7	5.1	5	5.2	5	5.3	4.9	4.8	5.3	5.4	5.7	5.1	5.4	5
Cenpq	3.3	4.6	4.1	4.4	4.3	4.4	4.4	4.4	4	3.9	4.6	3.6	4.2	4	3.5
Cenpt	2	3.6	3.2	3.6	3.1	3.4	2.9	3.1	3.1	3.5	3.5	3.3	3.7	3.5	3.6
Cenpv	0	1.3	1.3	1.2	1.8	1.5	2.3	1.7	2.2	2.7	2.1	2.2	1.7	1.4	1.6
Cenpw	4.4	6	5.9	6.2	6	6	6	5.7	6.5	6	6.6	5.9	6.4	6.1	6.6
Cep104	0	2.2	1.9	1.9	2.3	1.6	2.6	1.2	1.7	2.3	2.4	2	1.5	1.7	2.8
Cep110	1.9	2	1.9	2.3	2.1	2.2	2.2	2.1	2.2	2.4	2.4	2.1	2.4	1.8	2.3
Cep112	0.7	0	1.5	0.6	0.9	0.5	0.2	0.3	1.4	0.2	0.8	0	0.1	0	0
Cep120	2	1.9	2.2	2	2.2	2.2	2.2	2.4	1.9	2.4	1.9	1.9	3	2.9	2.4
Cep128	0.5	0.8	0.4	0.2	0.5	0.8	0.6	1.3	1.6	0.8	0.8	1.2	1.2	0.2	1
Cep135	1.1	1.3	2.4	2.5	2.1	2.3	1.8	2	1.9	1.5	1.5	2	2	1.6	2.4
Cep152	1.7	1.7	1.8	1.6	1.6	1.7	1.3	1.8	1.6	1.3	1.8	1.1	2.3	1.6	1.7
Cep164	1.9	2.3	2.4	2.3	2.2	2.5	2	2.7	2.6	2.5	2.8	2.5	2.9	2.9	2.8
Cep170	1.8	1.7	1.2	1.5	1.5	1.6	1.8	1.7	1.6	1.6	1.8	1.3	2.3	1.1	1.4
Cep170b	1.1	2.2	1.7	1.7	2.2	1.7	2.6	1.7	2.2	1.8	2	2.3	2.3	1.8	1.6
Cep19	2	2.4	3	3.1	2.7	2.9	2.3	2.7	3.3	2.6	3.1	2.2	3.2	3.6	2.6
Cep192	1.7	2.2	2.2	1.9	2.3	2.1	2.4	2.2	2.5	2.5	2.1	1.9	2.3	1.9	2.3
Cep250	1.4	1.4	1.1	1	1.4	1.2	1.6	1.3	1.6	1.5	1.2	1.6	1	1.8	1.1
Cep290	1.5	2	1.9	1.9	1.5	2	1.1	2.1	1.8	1.9	1.7	1.8	1.7	2	1.3
Cep350	0.7	1.4	0.6	1.2	0.9	1.2	1.2	1.2	1.4	1.4	1.1	1	1.2	0.9	1.1
Cep44	1.7	3.2	3.8	3	3.8	2.9	3.8	2.8	3.4	4.2	3.8	3	3.5	4	4
Cep55	2.3	2.7	1.5	1.4	1.7	1.9	1.8	2.3	2.1	1	1.9	2.2	2	2.5	2.6
Cep57	4	4.5	4.9	4.4	4.7	4.6	4.5	4.8	5	4.9	4.8	5.2	4.6	4.5	4.7
Cep57l1	1.9	1.2	2.6	2.7	2.7	2.8	2.8	2.9	2.4	2.4	2.3	2	2.9	2	2.5
Cep63	2.5	1.7	1.7	1.7	2	1.8	2.3	1.9	2.6	2.6	1.2	1.5	2.4	2.5	2.5
Cep68	0.2	2.7	2.5	2.3	2.2	2.2	1.9	2	2.3	2.6	2.5	2.7	2.3	2.4	1.6
Cep70	0.4	1.9	1.8	2	1.7	1.8	1.5	1.6	1.9	2.3	1.4	1.4	1.2	2.1	1.8
Cep72	0.5	1.2	1.4	1.3	1.2	1.6	1	1.9	2	1	2	2	1.5	1	2.6
Cep76	1.3	2.3	2.2	2.1	2.4	1.7	2.5	1.3	2	2.3	2.6	1.8	2.9	2.1	2.3
Cep78	2.3	3.3	3.4	3.1	3.3	3.2	3.2	3.3	3.2	3.5	3.4	3.5	3.7	3.1	3
Cep85	1.9	1.9	2.3	1.8	2.3	2.3	2.2	2.7	2.5	1.9	2.1	2.7	2.7	2.1	2.5
Cep85l	0	0.7	0.6	1.9	0.8	1	1	0	0.7	0	0.8	0	0.6	0.6	0.7
Cep89	1.6	2.6	2.9	2.8	2.8	2.7	2.7	2.5	3.2	2.8	2.8	3.2	2.5	3.2	2.2
Cep95	1.4	1.7	2.3	1.5	2.1	1.7	1.9	1.9	2.1	1.1	1.3	1.7	2.4	2.7	2.8
Cep97	2	2.1	3.1	0.9	2.5	1.3	1.9	1.6	2.6	2.1	2.2	2.4	2.7	2.4	2.2
Cept1	2	2	2.4	2	2.5	2.1	2.5	2.2	2.1	2.7	2.6	2.1	2.6	2.1	1.8
Cer1	0	0	0	0	0	0	0	0	0.9	1.6	0.2	0	0.9	0	0
Cercam	0.3	0.5	1.1	1.3	0.7	1.1	0.3	0.9	0.6	1	1	0.9	1.6	0.1	1.4
Cerk	0.4	0.7	0.7	0.5	0.6	0.8	0.5	1.1	0.6	0.7	0.9	0.3	1.3	0.6	0.2
Cers2	4	4.3	4.2	4.7	4.5	4.7	4.8	4.6	4.3	4.5	4.6	4.2	4.8	4.9	4.8
Cers4	1.1	1.8	1.9	2.1	1.7	2.4	1.4	2.6	1.7	1.7	1.6	2	1.8	2.2	2.1
Cers5	3.8	3.7	4.5	4.6	4.5	4.7	4.4	4.8	4.9	4.5	4.9	4.6	4.3	4.9	5
Cers6	0	0.5	0.8	0.4	1	0.5	1.1	0.5	0.6	0.2	0.4	0.3	0.7	0.8	0.5
Ces2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetn2	3.8	5.1	4.7	4.9	4.9	4.9	5	4.8	4.9	4.9	5.5	5.3	4.7	5.3	5.5
