Genes	2EA(1)	2EP(1)	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
Fam211a	0	0.8	0	0.8	0	0	0	0	0	0	0	1.4	0	0	2.2	0
Fam212a	0	0	0	0	0	0	0	0	0	0	0	4.4	0	2.5	0	0.6
Fam213a	3.5	3.3	3.5	3.3	0	2.9	1.1	1.5	2.1	0	2	3.9	2.7	3.4	3.3	4.6
Fam213b	1.9	0	1.9	0	0	0	0	0	0	0	0	5	3.3	0.9	2	3.7
Fam214a	1.6	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam214b	2.5	0	2.5	0	0	1.7	0.4	1.7	0.8	1.6	0	1.2	0	0.8	0.7	0
Fam216a	4.5	2.1	4.5	2.1	0	3.3	2	1.7	4	0	3.5	2.7	2.6	3.2	3.7	3.1
Fam219b	2	1.7	2	1.7	0	0.4	0.6	0.9	1.1	1.4	2.5	1.9	2.1	2.2	0.3	0
Fam220a	0	0	0	0	0	0	1	0	1.9	0	0	1.2	0.6	0.6	2.7	3.1
Fam221a	0	0	0	0	0	0	0	0.3	0	0.5	0	0	0	0	0.6	0
Fam222a	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Fam222b	2.1	2.2	2.1	2.2	0	1.4	0.5	1	0.9	0.5	1.2	3.4	3	3.3	2.6	2.8
Fam228b	0	0	0	0	2.8	1.3	1.4	0.7	0	0	0	0	0.4	0	0	0
Fam229a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam229b	0	0	0	0	0	0	0	0	0	0	0	2.2	4.7	2.2	0	0
Fam25c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam26d	0	0	0	0	0	0	0.6	0	1.2	0	0	0	1.7	0	0	0
Fam26f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	1.9
Fam32a	4.5	0.8	4.5	0.8	4.6	0	3.5	1.3	2.3	2.6	4.5	3.5	4.3	4	3.4	4.9
Fam35a	0.6	0	0.6	0	0	1.3	0	0.8	0	0.3	0	0.6	1.2	3.2	0.1	1.5
Fam3a	0	0	0	0	0	0	0	0	0	0	0.7	1.8	2.1	1.7	2.1	1.6
Fam3c	2.5	3.2	2.5	3.2	2.1	1.5	2.6	1.5	3	1.5	3.1	3.6	2.9	2.8	4	3.9
Fam43a	0	0	0	0	0	0	0	0.3	0	0.6	0	0.2	0	1.2	0	0.5
Fam45a	0	3.3	0	3.3	0	0	0.7	0.4	1.3	0.8	1.9	2.3	1.8	1.7	0.2	1.2
Fam46a	1	2.3	1	2.3	0	2.8	1	2.8	1.9	2.8	1.5	2.5	1.3	1.4	0.9	2.2
Fam46b	2.6	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam46c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam49a	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0.3
Fam49b	2.3	0	2.3	0	2.3	1.5	1.8	1.1	1.3	0.7	0.5	1.6	2.3	2.3	2	1.5
Fam50a	5.2	3.7	5.2	3.7	3.5	3.9	2.8	4	2	4	2.7	3.4	3.9	4.9	4.1	4.7
Fam53a	2.5	0.8	2.5	0.8	1.7	0.5	1.8	0.3	1.8	0	2.9	2.7	2.8	3.9	2.2	2.5
Fam53b	2.3	0.3	2.3	0.3	0	0	0.6	0.6	1.1	1.2	0.1	0.5	0.1	1.1	0.2	0
Fam53c	0	0	0	0	2.5	0.8	1.3	1.4	0	1.9	0.7	2.2	1.7	1.3	1.8	0.8
Fam57a	1.7	0	1.7	0	0	0	0	0	0	0	0	0	0	1.6	3.7	0.6
Fam57b	0	0.9	0	0.9	0	0	0	0	0	0	1.4	0	0	1.9	0	1.8
Fam58b	0	4	0	4	4.6	0	3.2	0.4	1.7	0.8	2.2	0	1.3	1.3	1.7	4.5
Fam60a	5	3.1	5	3.1	4.5	3.6	4.1	3.7	3.6	3.7	4.4	5.4	4.1	6	4.2	5.1
Fam63a	0.7	2.5	0.7	2.5	0	1.9	0	1.2	0	0.4	0.3	2.6	1.6	2.1	2.3	1.4
Fam63b	0	0.4	0	0.4	0	0.1	0.2	0.1	0.4	0	0	0.1	0	1.9	1.9	0
Fam64a	0	1	0	1	2.9	0	3.1	0	3.2	0	0.5	0	0	3.3	1.6	3
Fam65a	2.6	0	2.6	0	0	0	0	0	0	0	0.9	1.5	0.3	2.2	0.9	0
Fam65b	0	0	0	0	0	1.2	0	1	0	0.7	0.1	0	0.3	0	0.1	0.1
Fam69a	3.6	4.5	3.6	4.5	0	2.4	2.2	2.7	4.3	3	3.7	2.9	4.1	3.3	4.4	3.6
Fam69b	0	3.6	0	3.6	0	0	0	0.3	0	0.6	2.1	0.9	0	2.1	1.1	0
Fam72a	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	2.3
Fam73a	1.6	0.9	1.6	0.9	2.6	2	1.5	1.4	0.4	0.8	2.3	2.5	3	1.2	2.4	2.5
Fam73b	1.1	0	1.1	0	0	0.3	0	1.1	0	1.9	0.2	0.8	0.7	2.4	0.7	1.2
Fam76a	0	1	0	1	1.3	0.9	1	2.1	0.6	3.2	0	2.9	1.7	3.5	3.1	2.1
Fam76b	2.9	1.9	2.9	1.9	3.1	1.6	2.3	1.2	1.5	0.8	2.3	3.4	2.8	2.4	2	2.3
Fam83b	2.3	0.5	2.3	0.5	0	0	0	0	0	0	0	0	0.4	0	0	0
Fam83d	3.8	0	3.8	0	3	0	2.9	0.4	2.8	0.8	0.8	0.2	2.7	1.7	0	1.4
Fam83e	0	0	0	0	0	0	0	0.5	0	0.9	0	0	0	0.8	0	0
Fam83f	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0
Fam83g	0	0	0	0	1.2	0	0.6	0.2	0	0.4	0.3	0.1	0	0.9	0.9	0.4
Fam83h	0	0	0	0	0	0	0.7	1	1.3	1.9	0.3	0.1	1.7	1.9	0.5	1.4
Fam84b	0.4	1.2	0.4	1.2	0	1.3	0.2	0.7	0.4	0	0.5	1.7	1.1	1.9	2.3	1.2
Fam86	0	2.8	0	2.8	1	1.6	2.1	2.7	3.1	3.7	1.5	0.7	1.8	3.4	3.6	2.9
Fam89a	2.8	4.7	2.8	4.7	0	0	1.2	1.9	2.3	3.7	0	3.4	2.3	0.9	0.4	0
Fam89b	0	4.4	0	4.4	1.6	0	2.8	0	4	0	2.1	1.6	2.4	3.4	4.6	4
Fam92a	1.3	0	1.3	0	0	0	0	0	0	0	0.5	1.8	0.9	2.8	1.6	1.8
Fam96a	0	2.6	0	2.6	4.7	2	3.9	3.3	3	4.6	4.9	5	3.6	5	5.7	4.6
Fam96b	2.1	4.3	2.1	4.3	5.2	1.4	5.3	3.2	5.4	4.9	3.4	4.8	4.1	5.2	4.9	4.7
Fam98a	0.7	2.5	0.7	2.5	2.5	2.9	2.5	2	2.5	1.1	3.1	3.7	3.7	4	4.2	3.7
Fam98b	4.1	4.1	4.1	4.1	0	3.7	2	3.3	4	2.8	1.2	4.4	3.8	4.4	3.1	3.9
Fam98c	0	1.8	0	1.8	0	0	0.4	0	0.8	0	2.3	0	0.5	0.5	1	1.3
Fanca	0	1.9	0	1.9	0.6	0	0.3	0.5	0	0.9	0.2	1.2	1.6	1.4	1.4	2.8
Fancb	0	2.6	0	2.6	0	0	0.9	0	1.7	0	0	0.6	2.8	1.6	2.8	1.6
Fancc	2.9	0	2.9	0	3.2	0	2.7	0.5	2.2	0.9	0.9	2.6	0.4	1.9	0.8	1.6
Fancd2	0	0	0	0	0	0.8	0	0.4	0	0	0.9	0.4	0.5	1.3	0	0.3
Fance	3.7	2.9	3.7	2.9	1.2	0	0.6	0.5	0	1	1.4	4.4	1.6	1.5	0.9	3.1
Fancf	0	0	0	0	0	0	0	0	0	0	0.4	0	0.4	1.8	1.9	0.6
Fancg	0	0	0	0	0	0	0.5	0	0.9	0	0.7	0	0	2.1	2.5	0
Fanci	0.8	0	0.8	0	0	0.2	0	0.6	0	0.9	1	1.2	0	0.4	1	0.8
Fancl	0	0	0	0	0	1.3	0	1	0	0.6	0.7	3.1	3.1	3	1.4	0.3
Fancm	0.7	0.6	0.7	0.6	0.9	0	0.5	0.2	0	0.3	0.1	0.7	2	2.2	1.8	0.6
Fank1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Far1	0	0	0	0	2.1	1.7	1.5	1.7	0.9	1.7	2.6	0.5	1.8	2.9	1.1	3.1
Far2	0	0.5	0	0.5	0	0	0.6	0.2	1.1	0.3	0	0	0	0.2	1.6	0.7
Farp1	0	1.1	0	1.1	0	1.9	0.2	1	0.4	0	1.8	0.8	3	1.5	2.7	1.7
Fars2	0	0	0	0	0	0	0	0	0	0	0	4.5	1.3	2.7	1	0
Farsa	1.6	3.6	1.6	3.6	4.4	3.7	3	4	1.5	4.2	3.4	4.7	3.4	5.2	4.8	5
Farsb	3.8	2.3	3.8	2.3	2.9	1.2	3.1	1.7	3.3	2.2	3	5.2	4.2	5	5	4.7
Fasn	1.8	1.3	1.8	1.3	0.5	1.6	0.9	1.4	1.3	1.2	2.5	3.1	1.7	3.1	3.5	3
Fastk	0	0.8	0	0.8	1.2	0.6	2.3	1.5	3.4	2.4	3.3	3.5	3.3	3	4.1	3.4
Fastkd1	1.2	0	1.2	0	0	0	0	0.8	0	1.6	0.5	3.2	1.2	2.2	1.2	2.2
Fastkd2	0	2.5	0	2.5	0	0	1	0.5	1.9	1	0.6	3.2	2.3	3.1	0.5	2.3
Fastkd3	0	0	0	0	0	0.5	0.5	1	1	1.5	0	1.5	2.3	2.2	1.6	1
Fastkd5	0	0	0	0	0	1.6	0	0.8	0	0	2.4	0	2.1	2.1	1.5	1.7
Fat1	1.1	0.9	1.1	0.9	0.9	0.4	1	0.2	1	0	0.9	0	1.2	1.1	0.2	1
Fau	9.5	9.7	9.5	9.7	9.3	8.2	9	8.9	8.7	9.5	9.9	10.9	9.8	10.6	10.7	10.7
Faxc	0	0.7	0	0.7	0	0	0	0	0	0	0.5	0.6	0	0.7	0	0.6
Fbf1	0	0.3	0	0.3	1.4	1	0.7	0.5	0	0	0.9	0	0.4	1.3	0.5	0.6
Fbl	4.3	6.6	4.3	6.6	4.1	4.1	4.9	4.3	5.6	4.5	5.7	6.9	6	7	6.5	6.9
Fblim1	0.7	0	0.7	0	0	1.1	1	1.7	2	2.3	0.5	2.7	0.2	1.5	2	2.1
Fbln1	3.1	0.9	3.1	0.9	0	1.7	1.3	1.3	2.5	0.8	1.5	2.3	1.7	2.7	2.1	3.3
Fbln2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
Fbp2	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0
Fbrs	0	1.1	0	1.1	0	0	0	0	0	0	0.3	1.6	2.1	3.2	3.2	2.8
Fbrsl1	0.6	0.5	0.6	0.5	0.9	0.3	1.2	0.5	1.5	0.7	2	0.8	1.4	0.7	2.4	2.5
Fbxl12	0	3.3	0	3.3	0	2.9	1.5	3.2	3	3.4	2.7	3.5	0.8	3.6	2.5	2.1
Fbxl14	2	0	2	0	1	0.5	0.5	0.5	0	0.5	0.2	1.7	1.7	1.7	1.7	2.5
Fbxl15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0.8
Fbxl16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Fbxl18	2.1	4.1	2.1	4.1	0	1.5	0.7	1.4	1.3	1.3	2.3	2.1	1.6	2.3	1.1	0.8
Fbxl19	0	0.5	0	0.5	0	0.8	0	0.4	0	0	0.7	3.1	0	1.3	2.3	0.8
Fbxl2	0	0	0	0	1.2	0.9	0.8	0.6	0.3	0.3	1.4	0.9	0.7	1.6	1	1.4
Fbxl20	0.9	0	0.9	0	0	0	0.4	0	0.8	0	0	0.4	0.1	1	1.1	0.4
Fbxl22	1.9	0	1.9	0	2.6	0.7	1.7	0.4	0.7	0	1.6	1.2	1.2	1.4	1.6	0.7
Fbxl3	0.5	0	0.5	0	0	0	0.1	0.3	0.2	0.5	2.5	1.7	2.2	1.1	2.2	2.4
Fbxl4	0	1.5	0	1.5	0	0	0	0	0	0	1.1	0.2	0	0.5	2.9	0.9
Fbxl5	1.3	0	1.3	0	4.4	0.7	2.9	1.4	1.3	2.1	0.7	2.4	2.2	2.5	3.1	3
Fbxl6	3.7	0	3.7	0	0	2.7	0.7	1.7	1.3	0.6	2.6	1.6	4.8	3.3	3.1	1.9
Fbxl8	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	1.2	0
Fbxo10	0	0	0	0	0.5	0	1.2	0	1.8	0	0.6	0	0.6	1.7	0	0.2
Fbxo11	0	2.3	0	2.3	0.6	0.9	0.6	1	0.5	1	1.7	1.1	1.4	2.5	2.6	2.2
Fbxo15	0	0	0	0	3.7	0	1.9	0.9	0	1.7	0	0.9	0	0	0	0
Fbxo16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo17	0	0	0	0	0	0	0	0	0	0	0	2.5	0	1.1	0.2	2.6
Fbxo18	1.3	0	1.3	0	0	0	0.7	0	1.4	0	2.5	2.8	1.7	0.8	2.1	1.6
Fbxo2	0	3.3	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo21	0	0	0	0	0	1.2	0	1.4	0	1.6	1.7	3.4	1.4	2.8	2.5	3.7
Fbxo22	1.9	1.3	1.9	1.3	0	3	1.3	2.4	2.6	1.8	4.2	4.4	3.5	3.8	4.2	4.6
Fbxo25	0	0	0	0	1.7	0	0.9	0.5	0	0.9	0	0.9	0.6	4	2.4	1.2
Fbxo27	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0
Fbxo28	0	0.6	0	0.6	1.5	1.5	1.3	1.8	1	2.1	1.6	3	1.5	2	0.8	0
Fbxo3	0	3	0	3	4	1.1	2.7	2.2	1.3	3.2	1.5	1.8	3.6	4.1	3.6	3.7
Fbxo30	2.2	1.8	2.2	1.8	0	0	1	0.9	1.9	1.8	0.6	0.9	2	2.3	2.8	1.9
Fbxo31	0	0	0	0	0	0.5	0	0.3	0	0	0.6	2	1.7	1.3	0.7	1.2
Fbxo33	0	0	0	0	0	0	0.5	1.5	0.9	2.9	1.8	3	1.9	3.1	1	2.2
Fbxo34	0	0	0	0	0	0	0	0.7	0	1.3	2.3	0.9	0.6	0	3.1	0
Fbxo36	0	0	0	0	0	0	0	1.2	0	2.4	0	0	0	0	1	0
Fbxo38	0	0.7	0	0.7	0	0.5	0	0.5	0	0.5	1.4	0.5	1.3	1.8	2	0.9
Fbxo4	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0
Fbxo42	1.8	0.8	1.8	0.8	0	0.7	0	0.6	0	0.5	2.5	0.9	0.3	2.3	1.5	0.8
Fbxo44	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	1.1
Fbxo45	0.5	0	0.5	0	0	1.8	0.6	0.9	1.2	0	0.2	0.5	0.9	1.3	2.9	2.3
Fbxo46	0	0.6	0	0.6	1.3	0.9	1.3	1.4	1.2	1.9	0.2	2.1	0.6	0.6	1.5	0.7
Fbxo5	1.6	2.6	1.6	2.6	4.6	2.8	3.9	3.3	3.2	3.7	3.5	3.5	4	5	3.5	4.4
Fbxo6	0	4.4	0	4.4	0	0	0.7	0	1.3	0	0	4.2	2	1	1	3.1
Fbxo7	0	0	0	0	0	0.6	0.6	1.3	1.2	1.9	0	3.8	0.9	1.6	1.9	1
Fbxo8	0	0	0	0	0	0.6	0.9	0.3	1.8	0	0	0.5	1.2	1.8	1.7	0
Fbxo9	0	0	0	0	2.8	0	1.4	0	0	0	2.2	2.1	0.7	4	3.2	3.4
Fbxw11	0	0.4	0	0.4	0	0	0.9	1.1	1.7	2.2	2.9	3.6	1.7	3	2.8	3.5
Fbxw17	0	0	0	0	0	0	0	0.9	0	1.8	1	2	1.5	1.5	2.2	0
Fbxw2	1.8	0	1.8	0	0	0.4	0.6	0.4	1.2	0.4	1.2	3.1	2.2	3.6	3.6	2.8
Fbxw28	0	1.9	0	1.9	0	2.6	0	1.3	0	0	0	0	0	0	0	0
Fbxw4	0	0	0	0	0	0	0	0	0	0	0.9	0	2.9	2.8	0	0
Fbxw5	0	0	0	0	3.1	0	1.6	1.4	0	2.8	2	3.8	3.3	2.2	3.6	1.9
Fbxw7	2	2.7	2	2.7	2	0.3	2.4	0.8	2.7	1.2	0.4	3.5	1.7	2.2	1.8	2.1
Fbxw8	1.5	1.9	1.5	1.9	1.8	0.9	1.6	1.1	1.3	1.2	3.4	2.9	3.4	3	3.3	3.3
Fbxw9	0	0.8	0	0.8	0	0	1.8	1.6	3.5	3.2	0	1.3	1.5	2.6	2.1	3.9
Fcer1g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcf1	4.9	5.5	4.9	5.5	0	5.3	2	5.3	4	5.3	5.6	6.5	6.7	6.8	6	6.8
Fcgr3	0	0	0	0	0	0	0.9	0	1.8	0	0.5	2.9	2.7	1.4	3.5	0
Fcgrt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	2.9
Fcho1	0	0	0	0	0	0	0	0	0	0	1.6	0	0.9	0.7	0	0
Fcho2	1.8	0.9	1.8	0.9	0	1.1	1.2	1.5	2.3	1.8	1.8	3	2.2	2.8	3.1	2.5
Fchsd2	0	0	0	0	0	1.1	0	0.7	0	0.3	1.7	1.6	1.7	0	1.1	0.1
Fdft1	0.7	0	0.7	0	1.3	0	1.3	0.8	1.3	1.5	2.7	3	2.7	2.5	1.5	1.2
Fdps	3.4	3.3	3.4	3.3	1.5	2.8	2.7	1.4	3.8	0	4.5	4.2	4.5	4.9	4.1	5.6
Fdx1	4.2	6	4.2	6	0	0	0.9	0.9	1.7	1.7	3	3	3	3	1.3	4.2
Fdx1l	3.9	2.4	3.9	2.4	3	2.7	3.6	3.5	4.1	4.2	4.7	5	3.5	5.4	6.3	6.2
Fdxacb1	3.3	0	3.3	0	0	0	0	0	0	0	0	0	3.1	0.6	0.2	1.7
Fdxr	0	3.7	0	3.7	0	0	0.8	1	1.5	1.9	3.5	0.3	0.9	2.2	1.8	1
Fech	0	0	0	0	3	1.3	2.5	1.8	2	2.2	1.1	2.3	1.5	1.6	1.8	2.5
Fem1a	0.8	1.8	0.8	1.8	1.2	1.1	1.2	0.8	1.1	0.4	1.4	1.7	1.9	1.9	2.5	0.9
Fem1b	1.4	2.8	1.4	2.8	1	2.3	1.9	1.6	2.7	0.8	3.5	3.5	3.5	4.1	4.8	2.9
Fem1c	0	0	0	0	0	0.7	0.5	0.4	0.9	0	1.7	0.7	0.2	1.4	1.2	0
Fen1	2.2	0.8	2.2	0.8	2.1	1.2	1.3	1.2	0.5	1.2	3.2	4.7	3.1	4.2	4.3	3.9
Fermt1	1.8	0	1.8	0	0	0	0.5	0.6	0.9	1.1	2.5	2	1.1	2.1	2.3	1
Fermt2	3.8	2.9	3.8	2.9	2.1	1.5	2.4	3.1	2.6	4.7	3.9	4.8	2.7	4.3	4.7	4
Fermt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	1.8
Fert2	2.9	4.6	2.9	4.6	2.9	0	1.6	1.5	0.3	2.9	3.4	1.2	0.8	2.4	2.5	0
Fes	1.2	0	1.2	0	0.8	0	0.4	0	0	0	0	0	0	0.5	0	0
Fez2	0	2.3	0	2.3	0	0.6	0.8	1.6	1.5	2.5	1.6	2.7	3.2	2.7	3.2	2.9
Fga	0	0	0	0	0	0	0	0	0	0	1.4	1.1	0	1.5	1.7	1.1
Fgb	3.7	4.5	3.7	4.5	1.3	1.1	2.6	2	3.9	2.9	3.4	4.4	5.1	3.5	6.1	5.6
Fgd1	2	0	2	0	0	0.6	0.6	0.5	1.2	0.3	0.4	0.8	0.2	0.2	0.4	2.5
Fgd2	0	0	0	0	0	0	0	0	0	0	0	2.6	0	1	0	0
Fgd4	0	0	0	0	0	0	0	1.9	0	3.8	0	1.9	0.9	1.9	0.7	0
Fgd5	0	0	0	0	0	0	0	0	0	0	0	1.3	0.1	0	0	0
Fgd6	0.9	0	0.9	0	0	0.4	0.2	0.2	0.3	0	0.6	0.8	0.1	1.6	0	0
Fgf10	1.6	0.4	1.6	0.4	0.6	1.8	1.7	2	2.7	2.1	3.7	3.1	2.6	1.9	3	1.8
Fgf12	0	1.9	0	1.9	0	0	0	1.2	0	2.3	0.2	0	0	0	0	0
Fgf13	0	0	0	0	0	1.9	0	1	0	0	0	0	0	0.7	0	0.2
Fgf15	0	0.9	0	0.9	0	0	0	0	0	0	0.7	0	0.9	2.6	0	3.3
Fgf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0
Fgf20	0	0	0	0	0	2.6	0	2.2	0	1.8	0	0	0	0	0	0
Fgf3	0	0	0	0	0	3.6	0	1.8	0	0	0	0	0	0.6	0	0
Fgf4	0	0	0	0	0	0.4	0	0.2	0	0	0	0	0.2	0	0	0.2
Fgf5	5.5	3	5.5	3	3.5	2.2	3.1	1.7	2.7	1.2	4.4	3.8	2.6	3.9	3	2
Fgf8	3.9	3.6	3.9	3.6	4.2	4.7	3.8	5	3.3	5.3	3.3	5.1	3.2	6	0	4.2
Fgfbp1	3.2	0	3.2	0	0	1.8	0	0.9	0	0	0	0	0	0	0	0
Fgfbp3	0	0	0	0	0	0	0	0.3	0	0.6	0	2.6	0	0	0	0
Fgfr1	0.5	0	0.5	0	0	1.1	0	0.8	0	0.4	0	0.9	2.2	2.7	0.4	1.5
Fgfr1op	3.5	0	3.5	0	2.2	0.9	1.9	1.8	1.6	2.6	0.2	2.6	3.1	2.1	2.8	3
Fgfr1op2	2.5	2.6	2.5	2.6	0.8	2	1.4	3	1.9	3.9	2.2	4.5	3.7	3.7	3.5	3.4
Fgfr2	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	1.5
Fgfr3	0	0	0	0	0	2.2	1	1.5	1.9	0.7	0.2	2.9	0	1.3	1.4	2.1
Fgfr4	0	2.1	0	2.1	0	0	0.5	0	1	0	0.4	2.5	1.4	0.4	3.3	3.1
Fgfrl1	0	0	0	0	0	1.1	0.4	0.6	0.8	0	1.1	0.6	1.3	3.2	4.5	1.6
Fgg	0	0	0	0	0	0	1.1	0	2.1	0	0.8	3.1	2	2.1	4.3	2.8
Fggy	0	0	0	0	0	0	0	0	0	0	0.9	0	0	2.6	0	0
Fgl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0
Fgr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fh1	2.5	3.6	2.5	3.6	3.4	1.7	3.9	2.8	4.3	3.9	4.7	4	3.8	4.9	3.8	5
Fhdc1	0	0	0	0	0	0	0.1	0	0.2	0	0	0.1	1.1	0	0.2	0.5
Fhit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0
Fhl1	1.8	4	1.8	4	2.5	4	2.2	4.2	1.8	4.3	4.3	5.1	4.3	3.5	5.2	5.4
Fhl2	1.8	0	1.8	0	0	1.8	0	0.9	0	0	0.5	0.6	0	0	0	2.7
Fhl3	0	0	0	0	0	0	0	1.8	0	3.5	0	3.2	2	2.9	1.1	2.8
Fhl4	0	0	0	0	2.4	0	1.2	0	0	0	0	0	0	0	0	0
Fhod1	0	0	0	0	0	0.3	0	1.1	0	1.8	0	0.8	0.7	0	0.6	1
Fibp	3.6	1.2	3.6	1.2	4.1	0	2.5	0.9	0.8	1.7	3.1	2.5	3.5	4.5	3.2	1.9
Ficd	0	0	0	0	0	0	0	0	0	0	0	1.8	1.5	0.7	0.5	1.2
Fig4	2.5	0	2.5	0	2.7	1.4	2.1	0.7	1.4	0	0.4	2.1	0.8	2.4	1	1.5
Fign	1.9	0	1.9	0	1.3	0.1	0.9	0.1	0.5	0	0.3	0.4	1.3	2.2	0.3	1.2
Fignl1	0	0	0	0	3.8	0.7	3	1.1	2.1	1.5	2.1	2.2	1.9	2.8	2.4	0
Fignl2	1.6	1.4	1.6	1.4	0	0.7	0.6	0.4	1.1	0	1.6	0.8	0.7	1.6	0.7	0.6
Filip1l	0	1.2	0	1.2	0	0	0.2	0	0.3	0	0	0.3	1	1.2	0.4	0
Fip1l1	3	1	3	1	2	2	1.2	1.6	0.3	1.1	2.9	2.6	1.4	3.2	2.6	2.5
Fis1	5.9	5.8	5.9	5.8	3.5	0	4.4	2.9	5.2	5.8	5.6	6.5	5.6	6.5	6.3	6.1
Fitm1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2
Fitm2	0	0	0	0	0	0	0	0	0	0	3.3	0	0.7	1.4	0	0
Fiz1	0.8	4.4	0.8	4.4	2.6	1.8	1.3	0.9	0	0	4.3	3.1	2.3	3.5	2.9	3.3
Fjx1	1.7	0	1.7	0	0	0	0.6	0.4	1.2	0.8	3.4	2.2	1.3	1.2	3.5	2.8
Fkbp10	0	2.4	0	2.4	0	1.6	0	1.2	0	0.7	2.3	0	0	2.9	0	0.2
Fkbp11	5.3	6	5.3	6	3.6	2.4	3.6	4	3.5	5.6	5.8	7.3	6	6.3	7.1	7.3
Fkbp14	0	0	0	0	0	0	0.2	0	0.4	0	0	1.3	0	1.6	0.5	1.5
Fkbp15	0.9	1.8	0.9	1.8	0	0	0	0.3	0	0.5	0.5	2.1	0.9	2.2	1.7	1.6
Fkbp1a	6	5.5	6	5.5	4.2	3.1	4.9	4.7	5.6	6.3	5.5	6.7	5.4	6.8	6.7	6.9
Fkbp1b	0	0	0	0	0	0	1.8	0	3.6	0	0	0	0	0	0.9	0
Fkbp2	5.4	3.7	5.4	3.7	0	4.3	2.8	4.5	5.6	4.7	6	7	7.1	6.2	7.3	7.7
Fkbp3	6.5	6	6.5	6	5.8	4.6	6.1	5.6	6.4	6.5	6.8	7.8	7.3	8.1	7.2	8.3
Fkbp4	5.7	5.5	5.7	5.5	5.4	4.8	5.5	5.2	5.6	5.5	6	6.7	5.8	7.2	6.4	6.8
Fkbp5	0	1.6	0	1.6	1.2	0	1.2	0	1.2	0	1.3	2.9	1.5	2.6	2.9	0.7
Fkbp6	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	3.6
Fkbp7	0	3.1	0	3.1	0	1.7	0	1.4	0	1.1	0	2.4	0	0	3.3	0
Fkbp8	4.8	5.1	4.8	5.1	4.9	4.8	4.9	4.5	4.8	4.1	4.4	5	4.4	5.2	5.4	4.9
Fkbp9	3.8	2.6	3.8	2.6	2	0.9	1.6	2.2	1.2	3.4	3.9	3.3	1.1	2.7	3.1	3
Fkbpl	0	0	0	0	1.6	0	0.8	1.3	0	2.6	0	0	0	4.1	0	2.5
Fkrp	0	1.3	0	1.3	2.7	0	1.7	0.8	0.7	1.5	1	3.1	0	1.7	2.7	1.1
Fktn	0	0.9	0	0.9	0	0.3	1.4	0.8	2.7	1.3	0.7	2.2	2.9	1.8	1.9	0
Flad1	0	0	0	0	2	1.4	1	1.8	0	2.2	0	2.9	0	2.4	1.2	2
Flcn	3.7	0	3.7	0	1.6	1.2	1	2.7	0.3	4.2	2.1	2.4	3	2.6	3.7	2.8
Flii	1.2	0	1.2	0	2.7	3	2.3	2.7	1.8	2.4	1.2	0.7	1.8	0.6	2.2	2.3
Flna	0.7	2.2	0.7	2.2	0	0.4	0.6	1	1.2	1.6	1.9	1.1	1.7	2.9	1.3	1.8
Flnb	3.5	2.6	3.5	2.6	1.9	2.2	2.2	2.6	2.4	3	3.1	3.4	2.5	2.2	2.7	2.8
Flnc	0	0	0	0	0.3	0	0.2	0.1	0	0.1	0	0	0	0	0	0
Flot1	3.3	0	3.3	0	0	0	0	0	0	0	3.8	0	3.1	0.7	3.6	2.1
